Vendredi 8 août 2025 20:00 locale (+18h)
  	 Run 00Z du Vendredi 8 août 2025  
Altitude	Pression	Température	Tw	Point de rosée	Humidité	Vent
15349 m	125 hPa	-60.6°C	-60.3°C	-82.3°C	4 %	217 ° / 20.9 kt
14204 m	150 hPa	-56.5°C	-57°C	-78°C	5 %	196 ° / 16.7 kt
13227 m	175 hPa	-56.9°C	-56.8°C	-66.8°C	28 %	156 ° / 15.4 kt
12383 m	200 hPa	-57.3°C	-57.7°C	-57.9°C	93 %	141 ° / 25.6 kt
11633 m	225 hPa	-53°C	-53°C	-53°C	100 %	143 ° / 30.8 kt
10945 m	250 hPa	-47.1°C	-47.4°C	-48.7°C	83 %	147 ° / 23.7 kt
10306 m	275 hPa	-41.5°C	-41.9°C	-46.9°C	56 %	139 ° / 19.3 kt
9710 m	300 hPa	-36.4°C	-37.3°C	-44.5°C	43 %	130 ° / 17.8 kt
9165 m	325 hPa	-31.7°C	-32.9°C	-40.1°C	43 %	125 ° / 16.7 kt
8620 m	350 hPa	-27°C	-28.5°C	-35.7°C	44 %	121 ° / 15.7 kt
8131 m	375 hPa	-23.3°C	-24.8°C	-30.2°C	53 %	119 ° / 13.9 kt
7642 m	400 hPa	-19.7°C	-21°C	-25°C	62 %	116 ° / 12.1 kt
7200 m	425 hPa	-16.5°C	-18.4°C	-23.1°C	57 %	114 ° / 10.3 kt
6757 m	450 hPa	-13.3°C	-15.8°C	-21.4°C	51 %	112 ° / 8.5 kt
6351 m	475 hPa	-10.5°C	-13.2°C	-18.7°C	51 %	103 ° / 8.4 kt
5946 m	500 hPa	-7.7°C	-10.6°C	-15.9°C	52 %	94 ° / 8.6 kt
5572 m	525 hPa	-5°C	-8.7°C	-15.1°C	45 %	87 ° / 8.1 kt
5197 m	550 hPa	-2.4°C	-7°C	-14.6°C	38 %	79 ° / 7.8 kt
4849 m	575 hPa	-0.4°C	-4.6°C	-10.6°C	46 %	67 ° / 9.9 kt
4501 m	600 hPa	1.6°C	-2.2°C	-6.8°C	54 %	60 ° / 12.3 kt
4176 m	625 hPa	3.8°C	0.2°C	-3.5°C	59 %	50 ° / 11.3 kt
3851 m	650 hPa	6°C	2.6°C	-0.4°C	64 %	38 ° / 10.6 kt
3544 m	675 hPa	8.4°C	4.3°C	0.8°C	59 %	47 ° / 10.1 kt
3238 m	700 hPa	10.9°C	5.9°C	1.8°C	53 %	57 ° / 10 kt
3121 m	706 hPa	11.5°C	5.9°C	1.2°C	49 %	58 ° / 10 kt
2871 m	727 hPa	13.3°C	6.9°C	1.6°C	45 %	68 ° / 10.2 kt
2621 m	749 hPa	14.9°C	9.3°C	5.3°C	53 %	79 ° / 10.5 kt
2371 m	771 hPa	16.9°C	10.7°C	6.5°C	50 %	82 ° / 9.5 kt
2121 m	794 hPa	19.2°C	10.4°C	3.7°C	36 %	78 ° / 8.4 kt
1871 m	817 hPa	21.1°C	10.9°C	2.7°C	30 %	72 ° / 8.4 kt
1621 m	841 hPa	22.7°C	11.6°C	2.7°C	27 %	80 ° / 6.5 kt
1496 m	854 hPa	23.4°C	11.9°C	2.5°C	25 %	87 ° / 4.1 kt
1371 m	866 hPa	23.8°C	12.1°C	2.5°C	25 %	110 ° / 1.1 kt
1246 m	878 hPa	24°C	12.2°C	2.4°C	24 %	234 ° / 1.1 kt
1121 m	891 hPa	24.3°C	12.3°C	2.1°C	23 %	237 ° / 2.7 kt
996 m	904 hPa	24.8°C	12.6°C	2.2°C	23 %	233 ° / 4.5 kt
871 m	917 hPa	25.2°C	13°C	2.9°C	24 %	232 ° / 6.4 kt
746 m	930 hPa	25.3°C	13.6°C	4.3°C	26 %	230 ° / 7.7 kt
621 m	943 hPa	25.3°C	14.8°C	7.1°C	31 %	228 ° / 8 kt
496 m	957 hPa	25.3°C	17°C	11.9°C	43 %	217 ° / 6.5 kt
371 m	971 hPa	25.8°C	18.7°C	14.9°C	51 %	199 ° / 5.5 kt
321 m	976 hPa	26.2°C	19.1°C	15.4°C	52 %	196 ° / 5.5 kt
271 m	982 hPa	26.6°C	19.5°C	15.8°C	51 %	193 ° / 5.5 kt
221 m	987 hPa	27.1°C	19.8°C	16.1°C	51 %	191 ° / 5.5 kt
196 m	990 hPa	27.3°C	20°C	16.2°C	51 %	190 ° / 5.5 kt
171 m	993 hPa	27.6°C	20.1°C	16.3°C	50 %	189 ° / 5.3 kt
156 m	994 hPa	27.8°C	20.2°C	16.4°C	50 %	188 ° / 5.1 kt
141 m	996 hPa	28°C	20.4°C	16.5°C	50 %	187 ° / 4.7 kt
123 m (Sol)	998 hPa	29.3°C	21.2°C	17.2°C	48 %	185 ° / 4 kt
  Iso 0°C : 4786 m  	  Iso -10°C : 6278 m  	  Iso -20°C : 7686 m  
