Samedi 9 août 2025 3:00 
  	 Run 12Z du Vendredi 8 août 2025  
Altitude	Pression	Température	Tw	Point de rosée	Humidité	Vent
15352 m	125 hPa	-59.6°C	-59.8°C	-81.8°C	4 %	200 ° / 16.8 kt
14202 m	150 hPa	-55.6°C	-56.3°C	-78.3°C	4 %	194 ° / 12.2 kt
13217 m	175 hPa	-54.5°C	-54.8°C	-69.8°C	14 %	149 ° / 6.2 kt
12363 m	200 hPa	-54.8°C	-54.6°C	-59.6°C	55 %	109 ° / 16.4 kt
11609 m	225 hPa	-53.3°C	-53.4°C	-53.4°C	98 %	115 ° / 23.2 kt
10923 m	250 hPa	-47.7°C	-47.8°C	-49.8°C	78 %	120 ° / 23.6 kt
10286 m	275 hPa	-42.2°C	-42.6°C	-45.6°C	69 %	119 ° / 24.8 kt
9691 m	300 hPa	-37.1°C	-37.6°C	-39.9°C	75 %	114 ° / 24 kt
9148 m	325 hPa	-32.7°C	-33.5°C	-37.6°C	61 %	110 ° / 22.3 kt
8605 m	350 hPa	-28.2°C	-29.5°C	-35.9°C	48 %	106 ° / 20.7 kt
8119 m	375 hPa	-24.5°C	-26.3°C	-34.5°C	39 %	110 ° / 16.3 kt
7633 m	400 hPa	-20.7°C	-23.2°C	-33.7°C	30 %	116 ° / 12 kt
7192 m	425 hPa	-17.7°C	-19.5°C	-25.5°C	51 %	111 ° / 8.9 kt
6752 m	450 hPa	-14.6°C	-16°C	-18.8°C	71 %	100 ° / 5.8 kt
6348 m	475 hPa	-11.5°C	-13.4°C	-16.9°C	64 %	113 ° / 4.7 kt
5944 m	500 hPa	-8.5°C	-10.9°C	-15.2°C	58 %	133 ° / 4 kt
5570 m	525 hPa	-5.8°C	-8.7°C	-13.6°C	54 %	102 ° / 3.7 kt
5197 m	550 hPa	-3°C	-6.7°C	-12.2°C	49 %	75 ° / 4.4 kt
4849 m	575 hPa	-0.7°C	-5.1°C	-11.3°C	45 %	65 ° / 5.2 kt
4502 m	600 hPa	1.6°C	-3.5°C	-10.6°C	40 %	58 ° / 6 kt
4177 m	625 hPa	3.8°C	-1.6°C	-8.4°C	41 %	60 ° / 9.7 kt
3852 m	650 hPa	5.9°C	0.3°C	-6.2°C	41 %	60 ° / 13.3 kt
3546 m	675 hPa	8.1°C	1.9°C	-4.9°C	39 %	62 ° / 14.3 kt
3240 m	700 hPa	10.3°C	3.5°C	-3.6°C	37 %	63 ° / 15.3 kt
3069 m	712 hPa	11.4°C	4.2°C	-3.2°C	36 %	65 ° / 15.4 kt
2819 m	733 hPa	13.5°C	5.6°C	-2.2°C	34 %	66 ° / 15.3 kt
2569 m	755 hPa	15.6°C	7°C	-0.8°C	33 %	66 ° / 14.9 kt
2319 m	778 hPa	17.6°C	8.7°C	1.1°C	33 %	66 ° / 14.4 kt
2069 m	801 hPa	19.7°C	10.4°C	3.1°C	33 %	66 ° / 14.3 kt
1819 m	824 hPa	21.7°C	11.7°C	4.1°C	32 %	68 ° / 13.7 kt
1569 m	848 hPa	23.5°C	12.8°C	5°C	30 %	66 ° / 10.1 kt
1444 m	861 hPa	24.1°C	13.8°C	6.8°C	33 %	62 ° / 8.5 kt
1319 m	873 hPa	24.1°C	15.1°C	9.5°C	40 %	55 ° / 6.4 kt
1194 m	886 hPa	24.2°C	15.6°C	10.3°C	42 %	33 ° / 4 kt
1069 m	898 hPa	24.7°C	15.2°C	9°C	37 %	353 ° / 2.9 kt
944 m	911 hPa	25.2°C	14.5°C	7°C	31 %	288 ° / 4.6 kt
819 m	924 hPa	25.2°C	14.3°C	6.3°C	30 %	265 ° / 7.1 kt
694 m	938 hPa	25.7°C	14.7°C	6.7°C	30 %	256 ° / 7.7 kt
569 m	951 hPa	26.3°C	15.2°C	7.3°C	30 %	255 ° / 8.3 kt
444 m	965 hPa	26.7°C	15.7°C	7.9°C	30 %	258 ° / 8.7 kt
319 m	978 hPa	26.8°C	16.2°C	8.8°C	32 %	263 ° / 6.9 kt
269 m	984 hPa	26.8°C	16.5°C	9.7°C	34 %	262 ° / 5.6 kt
219 m	990 hPa	26.6°C	17.5°C	11.9°C	40 %	251 ° / 4.5 kt
169 m	995 hPa	26.5°C	18.1°C	13.1°C	44 %	256 ° / 3.7 kt
144 m	998 hPa	26.6°C	18°C	12.8°C	42 %	280 ° / 4 kt
119 m	1001 hPa	26.5°C	18°C	13°C	43 %	295 ° / 4.7 kt
104 m	1003 hPa	26.3°C	18.2°C	13.4°C	45 %	298 ° / 4.5 kt
89 m	1004 hPa	26°C	18.2°C	13.7°C	47 %	296 ° / 3.7 kt
71 m (Sol)	1007 hPa	25.8°C	18.5°C	14.3°C	49 %	290 ° / 2.9 kt
  Iso 0°C : 4739 m  	  Iso -10°C : 6146 m  	  Iso -20°C : 7529 m  
