Jeudi 7 août 2025 5:00 locale (+3h)
  	 Run 00Z du Jeudi 7 août 2025  
Altitude	Pression	Température	Tw	Point de rosée	Humidité	Vent
15308 m	125 hPa	-62.9°C	-63.2°C	-77.2°C	13 %	331 ° / 8.5 kt
14188 m	150 hPa	-63.9°C	-63.7°C	-66.7°C	68 %	11 ° / 15.8 kt
13241 m	175 hPa	-61.8°C	-61.8°C	-61.8°C	100 %	44 ° / 27.5 kt
12405 m	200 hPa	-56.6°C	-56.6°C	-56.6°C	100 %	47 ° / 37.4 kt
11648 m	225 hPa	-50.9°C	-51.2°C	-51.2°C	96 %	41 ° / 32.3 kt
10953 m	250 hPa	-44.8°C	-45°C	-47°C	79 %	29 ° / 26.7 kt
10309 m	275 hPa	-39.8°C	-40.1°C	-41.4°C	84 %	24 ° / 22.4 kt
9708 m	300 hPa	-34.9°C	-35.3°C	-38.3°C	71 %	28 ° / 17.3 kt
9160 m	325 hPa	-30.2°C	-31.2°C	-36.5°C	54 %	27 ° / 12.3 kt
8612 m	350 hPa	-25.5°C	-27.2°C	-35.9°C	37 %	26 ° / 7.2 kt
8119 m	375 hPa	-21.2°C	-23.6°C	-33.3°C	33 %	5 ° / 7.8 kt
7627 m	400 hPa	-17°C	-20.1°C	-30.9°C	29 %	350 ° / 9.2 kt
7180 m	425 hPa	-14.1°C	-17.3°C	-26.4°C	34 %	345 ° / 10.8 kt
6732 m	450 hPa	-11.2°C	-14.5°C	-22.1°C	40 %	341 ° / 12.3 kt
6325 m	475 hPa	-9°C	-12.2°C	-18.8°C	45 %	333 ° / 10.6 kt
5917 m	500 hPa	-6.8°C	-10°C	-15.6°C	49 %	322 ° / 9.2 kt
5542 m	525 hPa	-4.6°C	-8.2°C	-13.9°C	48 %	315 ° / 10.8 kt
5166 m	550 hPa	-2.5°C	-6.3°C	-12.1°C	48 %	310 ° / 12.5 kt
4819 m	575 hPa	-1.2°C	-4.3°C	-8.4°C	58 %	310 ° / 13.8 kt
4472 m	600 hPa	0.2°C	-2.4°C	-5.1°C	68 %	310 ° / 15.1 kt
4148 m	625 hPa	2.5°C	-0.3°C	-3°C	67 %	303 ° / 17.4 kt
3825 m	650 hPa	4.8°C	1.8°C	-0.9°C	67 %	297 ° / 19.9 kt
3519 m	675 hPa	7.4°C	3.6°C	0.1°C	60 %	290 ° / 15.4 kt
3253 m	699 hPa	9.9°C	5.1°C	0.9°C	53 %	279 ° / 11.6 kt
3003 m	720 hPa	12.1°C	6.5°C	1.9°C	50 %	269 ° / 9.8 kt
2753 m	742 hPa	14.3°C	7.9°C	2.8°C	46 %	266 ° / 9.4 kt
2503 m	764 hPa	16.2°C	9.1°C	3.7°C	43 %	265 ° / 9.3 kt
2253 m	787 hPa	17.9°C	10.5°C	5.1°C	43 %	259 ° / 8.9 kt
2003 m	810 hPa	19.1°C	11.8°C	6.7°C	44 %	247 ° / 8.4 kt
1753 m	834 hPa	19.8°C	12.5°C	7.5°C	45 %	239 ° / 9.3 kt
1628 m	846 hPa	20.2°C	12.5°C	7.2°C	43 %	242 ° / 10.5 kt
1503 m	858 hPa	20.8°C	12.4°C	6.3°C	39 %	243 ° / 11.7 kt
1378 m	871 hPa	21.3°C	12.2°C	5.2°C	35 %	238 ° / 12.4 kt
1253 m	883 hPa	21.7°C	12.1°C	4.5°C	33 %	231 ° / 12.5 kt
1128 m	896 hPa	22.2°C	12.4°C	4.6°C	32 %	226 ° / 12.5 kt
1003 m	909 hPa	22.7°C	12.8°C	5°C	32 %	225 ° / 12.2 kt
878 m	922 hPa	23°C	13.5°C	6.3°C	34 %	229 ° / 11.4 kt
753 m	936 hPa	22.9°C	14.8°C	9.4°C	42 %	240 ° / 9.9 kt
628 m	949 hPa	22.4°C	16.8°C	13.5°C	57 %	255 ° / 7.9 kt
503 m	963 hPa	22.2°C	18.9°C	17.2°C	73 %	280 ° / 5.6 kt
453 m	968 hPa	22.2°C	19.5°C	18.2°C	78 %	294 ° / 4.9 kt
403 m	974 hPa	22.3°C	20°C	18.9°C	81 %	308 ° / 5 kt
353 m	980 hPa	22.5°C	20.3°C	19.2°C	82 %	319 ° / 4.9 kt
328 m	982 hPa	22.5°C	20.5°C	19.5°C	83 %	326 ° / 4.6 kt
303 m	985 hPa	22.5°C	20.7°C	19.9°C	85 %	332 ° / 4.1 kt
288 m	987 hPa	22.5°C	20.9°C	20.1°C	86 %	335 ° / 3.6 kt
273 m	989 hPa	22.5°C	20.9°C	20.2°C	87 %	342 ° / 2.7 kt
255 m (Sol)	991 hPa	21°C	20.4°C	20.1°C	95 %	6 ° / 1.3 kt
  Iso 0°C : 4512 m  	  Iso -10°C : 6517 m  	  Iso -20°C : 7976 m  




