Jeudi 7 août 2025 6:00 locale (+4h)
  	 Run 00Z du Jeudi 7 août 2025  
Altitude	Pression	Température	Tw	Point de rosée	Humidité	Vent
15307 m	125 hPa	-63°C	-62.7°C	-76.7°C	14 %	352 ° / 6.1 kt
14187 m	150 hPa	-63.6°C	-63.8°C	-67.8°C	57 %	29 ° / 17.2 kt
13239 m	175 hPa	-61.9°C	-61.9°C	-61.9°C	100 %	48 ° / 27.4 kt
12403 m	200 hPa	-56.5°C	-56.5°C	-56.5°C	100 %	51 ° / 35.4 kt
11646 m	225 hPa	-50.9°C	-51.2°C	-51.4°C	95 %	48 ° / 31 kt
10951 m	250 hPa	-44.8°C	-45.2°C	-48.5°C	66 %	37 ° / 27.2 kt
10307 m	275 hPa	-39.7°C	-40.2°C	-42.6°C	74 %	26 ° / 24.2 kt
9706 m	300 hPa	-34.9°C	-35.5°C	-37.8°C	75 %	24 ° / 17.6 kt
9158 m	325 hPa	-30.2°C	-31°C	-36°C	57 %	24 ° / 12.3 kt
8610 m	350 hPa	-25.5°C	-27.3°C	-35.4°C	39 %	24 ° / 7 kt
8117 m	375 hPa	-21.2°C	-23.4°C	-32.4°C	36 %	9 ° / 7.5 kt
7625 m	400 hPa	-17°C	-20°C	-29.6°C	33 %	357 ° / 8.5 kt
7178 m	425 hPa	-14.1°C	-17.1°C	-26.1°C	36 %	355 ° / 9.7 kt
6731 m	450 hPa	-11.3°C	-14.7°C	-22.7°C	38 %	353 ° / 10.8 kt
6323 m	475 hPa	-9.1°C	-12.5°C	-19.3°C	44 %	339 ° / 8.2 kt
5915 m	500 hPa	-7°C	-10.2°C	-15.9°C	49 %	313 ° / 6.5 kt
5541 m	525 hPa	-5°C	-8.3°C	-13.7°C	50 %	310 ° / 8.7 kt
5166 m	550 hPa	-3°C	-6.5°C	-11.5°C	52 %	308 ° / 10.9 kt
4819 m	575 hPa	-1.6°C	-4.2°C	-7.6°C	63 %	307 ° / 12.7 kt
4473 m	600 hPa	-0.1°C	-2°C	-4.1°C	75 %	307 ° / 14.6 kt
4149 m	625 hPa	2.2°C	0.1°C	-1.9°C	74 %	302 ° / 16.5 kt
3826 m	650 hPa	4.6°C	2.4°C	0.4°C	74 %	298 ° / 18.5 kt
3521 m	675 hPa	7.4°C	3.8°C	0.8°C	63 %	287 ° / 15.4 kt
3253 m	699 hPa	10°C	5.1°C	0.8°C	53 %	273 ° / 13.1 kt
3003 m	720 hPa	12.3°C	6.3°C	1.3°C	47 %	263 ° / 11.9 kt
2753 m	742 hPa	14.4°C	7.7°C	2.1°C	43 %	262 ° / 11 kt
2503 m	764 hPa	16.4°C	9°C	3.1°C	41 %	267 ° / 10.2 kt
2253 m	787 hPa	18.1°C	10.5°C	4.9°C	42 %	267 ° / 9.4 kt
2003 m	810 hPa	19.1°C	11.8°C	6.9°C	45 %	254 ° / 9.4 kt
1753 m	834 hPa	19.7°C	12.3°C	7.2°C	44 %	251 ° / 11.4 kt
1628 m	846 hPa	20.4°C	12.3°C	6.6°C	41 %	249 ° / 12.3 kt
1503 m	858 hPa	21°C	12.3°C	5.9°C	37 %	244 ° / 12.6 kt
1378 m	871 hPa	21.5°C	12.2°C	5.2°C	35 %	237 ° / 12.5 kt
1253 m	883 hPa	22°C	12.3°C	4.8°C	33 %	232 ° / 12.2 kt
1128 m	896 hPa	22.5°C	12.6°C	4.7°C	31 %	229 ° / 11.8 kt
1003 m	909 hPa	23.2°C	12.9°C	4.8°C	30 %	230 ° / 11.3 kt
878 m	922 hPa	23.8°C	13.4°C	5.4°C	30 %	235 ° / 10.5 kt
753 m	936 hPa	23.9°C	14.4°C	7.5°C	35 %	246 ° / 9.1 kt
628 m	949 hPa	23.5°C	16.2°C	11.6°C	47 %	269 ° / 7.3 kt
503 m	963 hPa	22.7°C	18.6°C	16.4°C	68 %	308 ° / 7.4 kt
453 m	968 hPa	22.4°C	19.4°C	17.9°C	76 %	319 ° / 8 kt
403 m	974 hPa	22.3°C	20°C	18.9°C	81 %	324 ° / 8.1 kt
353 m	980 hPa	22.3°C	20.1°C	19.1°C	82 %	328 ° / 7.7 kt
328 m	982 hPa	22.2°C	20°C	19°C	82 %	329 ° / 7.3 kt
303 m	985 hPa	22.1°C	20°C	19°C	83 %	332 ° / 6.1 kt
288 m	987 hPa	21.9°C	20.1°C	19.2°C	85 %	337 ° / 4.8 kt
273 m	989 hPa	21.7°C	20.3°C	19.6°C	88 %	350 ° / 3.1 kt
255 m (Sol)	991 hPa	20.8°C	20.3°C	20.1°C	96 %	7 ° / 1.8 kt
  Iso 0°C : 4453 m  	  Iso -10°C : 6492 m  	  Iso -20°C : 7973 m  
