Mercredi 6 août 2025 7:00 locale (+11h)
  	 Run 18Z du Mardi 5 août 2025  
Altitude	Pression	Température	Tw	Point de rosée	Humidité	Vent
15303 m	125 hPa	-61.7°C	-61.7°C	-79.7°C	7 %	284 ° / 23.2 kt
14172 m	150 hPa	-60.7°C	-60.6°C	-75.6°C	12 %	266 ° / 27.6 kt
13213 m	175 hPa	-60.3°C	-60°C	-62°C	80 %	240 ° / 36 kt
12376 m	200 hPa	-57.2°C	-57.2°C	-57.2°C	99 %	233 ° / 37.2 kt
11622 m	225 hPa	-51.7°C	-51.7°C	-51.7°C	100 %	240 ° / 34 kt
10931 m	250 hPa	-46.2°C	-46.2°C	-46.2°C	100 %	248 ° / 31.1 kt
10290 m	275 hPa	-40.7°C	-41°C	-42°C	88 %	255 ° / 27.8 kt
9691 m	300 hPa	-35.5°C	-36°C	-38.5°C	73 %	260 ° / 24.1 kt
9145 m	325 hPa	-31.1°C	-31.8°C	-35.4°C	65 %	259 ° / 21.1 kt
8598 m	350 hPa	-26.7°C	-27.5°C	-32.5°C	58 %	258 ° / 18.1 kt
8109 m	375 hPa	-23.1°C	-24.6°C	-30°C	53 %	263 ° / 15.3 kt
7620 m	400 hPa	-19.5°C	-21.4°C	-27.5°C	49 %	270 ° / 12.8 kt
7177 m	425 hPa	-16°C	-18.5°C	-25.8°C	43 %	272 ° / 12.1 kt
6733 m	450 hPa	-12.5°C	-15.8°C	-24.5°C	36 %	275 ° / 11.5 kt
6327 m	475 hPa	-9.8°C	-13.7°C	-23.2°C	33 %	281 ° / 10.9 kt
5920 m	500 hPa	-7°C	-11.6°C	-21.9°C	29 %	287 ° / 10.4 kt
5545 m	525 hPa	-4.8°C	-9.9°C	-21.1°C	27 %	304 ° / 11 kt
5171 m	550 hPa	-2.6°C	-8.3°C	-20.5°C	24 %	319 ° / 12.6 kt
4823 m	575 hPa	-0.7°C	-6.2°C	-15.7°C	31 %	319 ° / 18.3 kt
4476 m	600 hPa	1.2°C	-3.9°C	-11.3°C	39 %	318 ° / 24 kt
4152 m	625 hPa	3.1°C	-1°C	-5.7°C	53 %	310 ° / 27 kt
3828 m	650 hPa	5°C	2°C	-0.8°C	66 %	303 ° / 30.4 kt
3522 m	675 hPa	7.4°C	3.2°C	-0.7°C	57 %	298 ° / 27.9 kt
3217 m	700 hPa	9.7°C	4.2°C	-1°C	47 %	292 ° / 25.7 kt
3009 m	717 hPa	10.7°C	5.4°C	0.8°C	50 %	283 ° / 23 kt
2759 m	739 hPa	11.9°C	7.3°C	3.7°C	57 %	270 ° / 20.2 kt
2509 m	761 hPa	13.4°C	8.8°C	5.4°C	58 %	262 ° / 17.6 kt
2259 m	784 hPa	15°C	10°C	6.6°C	57 %	256 ° / 13.9 kt
2009 m	807 hPa	16.2°C	12°C	9.4°C	64 %	229 ° / 9.8 kt
1759 m	831 hPa	17.4°C	13.7°C	11.5°C	68 %	216 ° / 10.6 kt
1509 m	856 hPa	19.3°C	14.6°C	11.9°C	62 %	226 ° / 9.9 kt
1384 m	868 hPa	20.1°C	14.7°C	11.4°C	57 %	230 ° / 8.3 kt
1259 m	881 hPa	20.8°C	14.6°C	10.8°C	53 %	227 ° / 6.2 kt
1134 m	894 hPa	21.5°C	14.6°C	10.2°C	48 %	205 ° / 5.2 kt
1009 m	907 hPa	21.9°C	14.5°C	9.6°C	45 %	186 ° / 6.5 kt
884 m	920 hPa	22.4°C	14.8°C	9.7°C	44 %	191 ° / 7.2 kt
759 m	933 hPa	23.2°C	15°C	9.5°C	42 %	201 ° / 7.3 kt
634 m	947 hPa	23.9°C	15.3°C	9.5°C	40 %	211 ° / 7.7 kt
509 m	960 hPa	24.3°C	16.5°C	11.6°C	45 %	218 ° / 4.5 kt
384 m	974 hPa	24.9°C	16.9°C	11.9°C	44 %	63 ° / 3 kt
259 m	988 hPa	25.9°C	16.9°C	11.2°C	40 %	56 ° / 6.2 kt
209 m	994 hPa	26.2°C	17.2°C	11.5°C	40 %	55 ° / 6.9 kt
159 m	999 hPa	26.3°C	17.4°C	11.8°C	40 %	59 ° / 6.3 kt
109 m	1005 hPa	26.2°C	17.6°C	12.3°C	42 %	63 ° / 4.2 kt
84 m	1008 hPa	26.1°C	17.9°C	13°C	44 %	54 ° / 3 kt
59 m	1011 hPa	25.6°C	18.8°C	15°C	52 %	-0 ° / 2.9 kt
44 m	1013 hPa	24.8°C	19.4°C	16.6°C	60 %	330 ° / 4.5 kt
29 m	1014 hPa	24.2°C	19.6°C	17.2°C	65 %	321 ° / 4.3 kt
11 m (Sol)	1017 hPa	23.3°C	19.8°C	18°C	72 %	320 ° / 3.3 kt
  Iso 0°C : 4692 m  	  Iso -10°C : 6360 m  	  Iso -20°C : 7689 m
