Samedi 9 août 2025 4:00 
  	 Run 12Z du Vendredi 8 août 2025  
Altitude	Pression	Température	Tw	Point de rosée	Humidité	Vent
15348 m	125 hPa	-59.2°C	-59.3°C	-81.3°C	4 %	203 ° / 16.9 kt
14197 m	150 hPa	-55.7°C	-56.2°C	-78.2°C	4 %	193 ° / 10.9 kt
13211 m	175 hPa	-54.1°C	-54.2°C	-70.2°C	12 %	139 ° / 4.5 kt
12356 m	200 hPa	-54.8°C	-54.7°C	-59.7°C	54 %	105 ° / 16.2 kt
11602 m	225 hPa	-53.4°C	-53.4°C	-53.4°C	99 %	110 ° / 23.9 kt
10916 m	250 hPa	-47.7°C	-48.1°C	-50.1°C	76 %	114 ° / 25.6 kt
10279 m	275 hPa	-42.3°C	-42.7°C	-45.1°C	74 %	113 ° / 25.6 kt
9685 m	300 hPa	-37.2°C	-37.6°C	-39.9°C	75 %	110 ° / 23 kt
9142 m	325 hPa	-32.7°C	-33.5°C	-37.5°C	63 %	107 ° / 21.7 kt
8600 m	350 hPa	-28.3°C	-29.6°C	-35.6°C	50 %	104 ° / 20.5 kt
8114 m	375 hPa	-24.7°C	-26.3°C	-33.8°C	42 %	107 ° / 16.3 kt
7628 m	400 hPa	-21°C	-23.2°C	-32.4°C	35 %	112 ° / 12.1 kt
7188 m	425 hPa	-17.8°C	-19.9°C	-26°C	49 %	102 ° / 9.3 kt
6747 m	450 hPa	-14.7°C	-16.2°C	-20.2°C	63 %	83 ° / 7 kt
6343 m	475 hPa	-11.6°C	-13.6°C	-17.3°C	63 %	90 ° / 5 kt
5940 m	500 hPa	-8.6°C	-10.8°C	-14.4°C	63 %	104 ° / 3 kt
5566 m	525 hPa	-6°C	-8.7°C	-12.9°C	58 %	75 ° / 3.7 kt
5193 m	550 hPa	-3.4°C	-6.6°C	-11.5°C	53 %	58 ° / 5 kt
4846 m	575 hPa	-0.9°C	-5°C	-10.8°C	47 %	53 ° / 5.7 kt
4498 m	600 hPa	1.5°C	-3.5°C	-10.4°C	41 %	49 ° / 6.3 kt
4174 m	625 hPa	3.7°C	-1.9°C	-9.3°C	38 %	61 ° / 9 kt
3849 m	650 hPa	5.9°C	-0.3°C	-8.3°C	35 %	67 ° / 11.8 kt
3543 m	675 hPa	8°C	1.8°C	-5.2°C	39 %	67 ° / 14.3 kt
3237 m	700 hPa	10.2°C	4°C	-2.1°C	42 %	67 ° / 16.7 kt
3069 m	711 hPa	11.2°C	5°C	-0.6°C	44 %	69 ° / 17.2 kt
2819 m	733 hPa	13.1°C	7.1°C	2°C	47 %	69 ° / 17 kt
2569 m	755 hPa	15.2°C	8.7°C	3.8°C	46 %	68 ° / 15.9 kt
2319 m	778 hPa	17.3°C	9.8°C	4.1°C	41 %	65 ° / 14.9 kt
2069 m	801 hPa	19.5°C	10.3°C	2.9°C	33 %	61 ° / 14.1 kt
1819 m	824 hPa	21.5°C	11.4°C	3.7°C	31 %	61 ° / 12.6 kt
1569 m	848 hPa	23°C	13.2°C	6.4°C	34 %	58 ° / 11 kt
1444 m	860 hPa	23.4°C	14.5°C	8.9°C	39 %	56 ° / 9.4 kt
1319 m	873 hPa	23.5°C	15.4°C	10.5°C	44 %	50 ° / 6.6 kt
1194 m	885 hPa	23.7°C	15.3°C	10.1°C	42 %	34 ° / 3.8 kt
1069 m	898 hPa	24.2°C	14.6°C	8.1°C	36 %	343 ° / 2.4 kt
944 m	911 hPa	24.4°C	13.9°C	6.2°C	31 %	281 ° / 4.1 kt
819 m	924 hPa	24.6°C	14.2°C	6.5°C	31 %	260 ° / 5.5 kt
694 m	938 hPa	25.2°C	14.8°C	7.3°C	32 %	253 ° / 6.7 kt
569 m	951 hPa	25.8°C	15.3°C	7.9°C	32 %	256 ° / 7.3 kt
444 m	965 hPa	26.1°C	15.7°C	8.5°C	33 %	263 ° / 6.7 kt
319 m	978 hPa	26.4°C	16.2°C	9.2°C	34 %	262 ° / 4 kt
269 m	984 hPa	26.3°C	16.8°C	10.5°C	37 %	245 ° / 3.3 kt
219 m	990 hPa	25.7°C	18.3°C	14.1°C	49 %	227 ° / 3.8 kt
169 m	995 hPa	25.4°C	19°C	15.5°C	54 %	226 ° / 3 kt
144 m	998 hPa	25.7°C	18.8°C	15°C	52 %	231 ° / 2.4 kt
119 m	1001 hPa	26°C	18.5°C	14.3°C	49 %	241 ° / 2.1 kt
104 m	1003 hPa	25.9°C	18.3°C	13.9°C	48 %	251 ° / 1.9 kt
89 m	1004 hPa	25.7°C	18.1°C	13.7°C	47 %	269 ° / 1.9 kt
71 m (Sol)	1007 hPa	25.5°C	18.3°C	14.1°C	49 %	266 ° / 1.7 kt
  Iso 0°C : 4717 m  	  Iso -10°C : 6125 m  	  Iso -20°C : 7487 m 

