Samedi 9 août 2025 12:00 
  	 Run 12Z du Vendredi 8 août 2025  
Altitude	Pression	Température	Tw	Point de rosée	Humidité	Vent
15351 m	125 hPa	-59.1°C	-59°C	-80°C	5 %	217 ° / 10.1 kt
14199 m	150 hPa	-55.2°C	-55.1°C	-78.1°C	4 %	218 ° / 7.2 kt
13210 m	175 hPa	-53.4°C	-53.4°C	-70.4°C	11 %	85 ° / 9.8 kt
12354 m	200 hPa	-54.9°C	-54.9°C	-58.9°C	61 %	70 ° / 22.2 kt
11601 m	225 hPa	-53.5°C	-53.5°C	-53.5°C	100 %	69 ° / 27.6 kt
10915 m	250 hPa	-48.1°C	-48.2°C	-49.2°C	88 %	74 ° / 27.1 kt
10280 m	275 hPa	-42.5°C	-42.9°C	-44.9°C	77 %	76 ° / 25.2 kt
9686 m	300 hPa	-37.5°C	-37.7°C	-41.7°C	64 %	79 ° / 23.1 kt
9144 m	325 hPa	-33.1°C	-34°C	-39.1°C	55 %	78 ° / 20.7 kt
8602 m	350 hPa	-28.7°C	-29.8°C	-36.8°C	46 %	78 ° / 18.2 kt
8117 m	375 hPa	-25.1°C	-26.6°C	-34.6°C	41 %	80 ° / 16.4 kt
7632 m	400 hPa	-21.4°C	-23.5°C	-32.5°C	36 %	82 ° / 14.6 kt
7192 m	425 hPa	-18.2°C	-20.8°C	-29.9°C	35 %	76 ° / 15.1 kt
6752 m	450 hPa	-14.9°C	-17.9°C	-27.2°C	34 %	70 ° / 15.8 kt
6350 m	475 hPa	-12.2°C	-15.2°C	-22.7°C	41 %	71 ° / 13.5 kt
5947 m	500 hPa	-9.5°C	-12.5°C	-18.5°C	48 %	72 ° / 11.2 kt
5575 m	525 hPa	-6.6°C	-9.8°C	-15.8°C	48 %	70 ° / 9.9 kt
5203 m	550 hPa	-3.7°C	-7.3°C	-13.1°C	48 %	68 ° / 8.6 kt
4856 m	575 hPa	-1.2°C	-5.2°C	-11°C	47 %	66 ° / 11.5 kt
4509 m	600 hPa	1.3°C	-3.1°C	-8.9°C	46 %	65 ° / 14.4 kt
4184 m	625 hPa	3.7°C	-1.4°C	-7.6°C	44 %	61 ° / 15.7 kt
3859 m	650 hPa	6°C	0.4°C	-6.3°C	41 %	58 ° / 17.1 kt
3553 m	675 hPa	8.2°C	2.2°C	-4.3°C	41 %	53 ° / 16.8 kt
3247 m	700 hPa	10.3°C	4°C	-2.3°C	41 %	49 ° / 16.5 kt
3069 m	712 hPa	11.3°C	5°C	-1°C	42 %	49 ° / 15.9 kt
2819 m	734 hPa	13°C	6.7°C	1.5°C	46 %	49 ° / 15.3 kt
2569 m	756 hPa	14.6°C	8.7°C	4.2°C	50 %	49 ° / 15.1 kt
2319 m	779 hPa	16.4°C	10.3°C	6.1°C	51 %	51 ° / 14.5 kt
2069 m	802 hPa	18.2°C	11.5°C	6.8°C	47 %	57 ° / 13.5 kt
1819 m	825 hPa	20.4°C	11.9°C	5.7°C	38 %	63 ° / 11.8 kt
1569 m	850 hPa	22.3°C	12.5°C	5.2°C	33 %	63 ° / 11.9 kt
1444 m	862 hPa	22.8°C	13.4°C	7°C	36 %	62 ° / 11.8 kt
1319 m	874 hPa	23.1°C	14.5°C	9.1°C	41 %	61 ° / 10.8 kt
1194 m	887 hPa	23.4°C	15.5°C	10.7°C	45 %	56 ° / 8.3 kt
1069 m	900 hPa	24°C	16°C	11.1°C	44 %	46 ° / 5.6 kt
944 m	913 hPa	23.9°C	16.4°C	12°C	47 %	23 ° / 4.2 kt
819 m	926 hPa	22.4°C	17.9°C	15.6°C	66 %	1 ° / 1.3 kt
694 m	939 hPa	23.1°C	18.7°C	16.5°C	66 %	139 ° / 1 kt
569 m	953 hPa	24.1°C	19.4°C	17°C	64 %	148 ° / 2.6 kt
444 m	966 hPa	25.2°C	20°C	17.5°C	62 %	147 ° / 4.1 kt
319 m	980 hPa	26.3°C	20.7°C	18.1°C	61 %	145 ° / 5.4 kt
269 m	986 hPa	26.7°C	21°C	18.3°C	60 %	145 ° / 6 kt
219 m	991 hPa	27.2°C	21.3°C	18.5°C	59 %	144 ° / 6.5 kt
169 m	997 hPa	27.7°C	21.6°C	18.7°C	58 %	143 ° / 6.9 kt
144 m	1000 hPa	28°C	21.7°C	18.8°C	58 %	143 ° / 7.1 kt
119 m	1002 hPa	28.3°C	21.9°C	18.9°C	57 %	143 ° / 7.1 kt
104 m	1004 hPa	28.5°C	22°C	19°C	56 %	142 ° / 7.1 kt
89 m	1006 hPa	28.8°C	22.1°C	19.1°C	55 %	142 ° / 6.7 kt
71 m (Sol)	1008 hPa	31.2°C	23°C	19.4°C	50 %	143 ° / 5.8 kt
  Iso 0°C : 4693 m  	  Iso -10°C : 6021 m  	  Iso -20°C : 7437 m  
