Mercredi 6 août 2025 6:00 locale (+10h)
  	 Run 18Z du Mardi 5 août 2025  
Altitude	Pression	Température	Tw	Point de rosée	Humidité	Vent
15305 m	125 hPa	-62°C	-61.7°C	-79.7°C	8 %	281 ° / 24.4 kt
14177 m	150 hPa	-61.7°C	-62.2°C	-73.2°C	20 %	265 ° / 30.3 kt
13221 m	175 hPa	-60.7°C	-60.9°C	-61.9°C	86 %	241 ° / 35.6 kt
12385 m	200 hPa	-57.2°C	-57.2°C	-57.2°C	100 %	236 ° / 35.5 kt
11631 m	225 hPa	-51.5°C	-51.5°C	-51.5°C	100 %	243 ° / 32 kt
10939 m	250 hPa	-45.9°C	-46.1°C	-46.1°C	99 %	251 ° / 29.4 kt
10297 m	275 hPa	-40.3°C	-40.4°C	-42.4°C	80 %	259 ° / 26.8 kt
9698 m	300 hPa	-35.2°C	-35.5°C	-38.5°C	72 %	262 ° / 23.5 kt
9150 m	325 hPa	-30.7°C	-31.7°C	-35.9°C	61 %	263 ° / 20 kt
8603 m	350 hPa	-26.2°C	-27.6°C	-33.7°C	49 %	264 ° / 16.5 kt
8114 m	375 hPa	-22.7°C	-24.1°C	-30.1°C	51 %	267 ° / 15 kt
7624 m	400 hPa	-19.2°C	-21°C	-26.6°C	52 %	271 ° / 13.6 kt
7180 m	425 hPa	-15.7°C	-18.1°C	-25.1°C	44 %	275 ° / 13 kt
6736 m	450 hPa	-12.2°C	-15.6°C	-24.1°C	37 %	279 ° / 12.4 kt
6329 m	475 hPa	-9.4°C	-13.5°C	-22.9°C	33 %	283 ° / 11.5 kt
5922 m	500 hPa	-6.7°C	-11.4°C	-21.9°C	29 %	288 ° / 10.6 kt
5547 m	525 hPa	-4.8°C	-9.9°C	-21.1°C	27 %	306 ° / 11.6 kt
5172 m	550 hPa	-2.8°C	-8.5°C	-20.5°C	24 %	320 ° / 13.5 kt
4825 m	575 hPa	-1.1°C	-6.3°C	-15.1°C	34 %	317 ° / 20 kt
4478 m	600 hPa	0.7°C	-3.9°C	-10.5°C	43 %	316 ° / 26.5 kt
4154 m	625 hPa	3°C	-1.1°C	-5.9°C	52 %	310 ° / 28.8 kt
3830 m	650 hPa	5.2°C	1.7°C	-1.7°C	61 %	306 ° / 31.3 kt
3525 m	675 hPa	7.4°C	2.9°C	-1.4°C	54 %	302 ° / 27.1 kt
3219 m	700 hPa	9.7°C	4°C	-1.4°C	46 %	296 ° / 23.1 kt
3009 m	717 hPa	10.6°C	5.4°C	0.7°C	50 %	287 ° / 19.7 kt
2759 m	739 hPa	11.8°C	7.2°C	3.6°C	57 %	275 ° / 16.6 kt
2509 m	761 hPa	13.4°C	8.8°C	5.4°C	58 %	265 ° / 14.6 kt
2259 m	784 hPa	15.2°C	10.2°C	6.6°C	56 %	258 ° / 11.9 kt
2009 m	808 hPa	16.5°C	12.1°C	9.3°C	62 %	234 ° / 5.9 kt
1759 m	832 hPa	17.8°C	13.8°C	11.5°C	67 %	201 ° / 6.5 kt
1509 m	856 hPa	19.4°C	15°C	12.4°C	64 %	219 ° / 5.8 kt
1384 m	869 hPa	20.4°C	15°C	11.9°C	58 %	221 ° / 5.1 kt
1259 m	881 hPa	21.3°C	14.8°C	10.7°C	51 %	217 ° / 4.7 kt
1134 m	894 hPa	22.1°C	14.6°C	9.8°C	46 %	214 ° / 4.7 kt
1009 m	907 hPa	22.6°C	14.5°C	9°C	42 %	205 ° / 5.7 kt
884 m	920 hPa	23.1°C	14.2°C	8°C	38 %	203 ° / 8.2 kt
759 m	933 hPa	23.9°C	14.4°C	7.6°C	35 %	207 ° / 9.5 kt
634 m	947 hPa	24.5°C	15.2°C	8.8°C	37 %	218 ° / 9.5 kt
509 m	960 hPa	25°C	16.2°C	10.4°C	40 %	230 ° / 9.7 kt
384 m	974 hPa	25.3°C	17.3°C	12.4°C	44 %	244 ° / 6.2 kt
259 m	988 hPa	26°C	17.4°C	12.2°C	42 %	310 ° / 2.6 kt
209 m	994 hPa	26.2°C	17.6°C	12.4°C	42 %	330 ° / 4.3 kt
159 m	999 hPa	26.2°C	18°C	13.1°C	44 %	340 ° / 6.1 kt
109 m	1005 hPa	26°C	18.6°C	14.4°C	49 %	348 ° / 7.4 kt
84 m	1008 hPa	25.9°C	18.9°C	14.9°C	51 %	349 ° / 7.4 kt
59 m	1011 hPa	25.5°C	19.2°C	15.7°C	55 %	342 ° / 7.2 kt
44 m	1013 hPa	25°C	19.3°C	16.2°C	58 %	333 ° / 7.1 kt
29 m	1014 hPa	24.4°C	19°C	16.1°C	60 %	329 ° / 5.8 kt
11 m (Sol)	1017 hPa	23.2°C	18.7°C	16.3°C	65 %	327 ° / 4.4 kt
  Iso 0°C : 4620 m  	  Iso -10°C : 6413 m  	  Iso -20°C : 7739 m  
 
