Jeudi 7 août 2025 14:00 locale (+12h)
  	 Run 00Z du Jeudi 7 août 2025  
Altitude	Pression	Température	Tw	Point de rosée	Humidité	Vent
15331 m	125 hPa	-63.9°C	-63.9°C	-76.9°C	15 %	181 ° / 4.7 kt
14214 m	150 hPa	-63.9°C	-64°C	-67°C	66 %	88 ° / 20.9 kt
13267 m	175 hPa	-61.9°C	-62°C	-62°C	100 %	88 ° / 25.4 kt
12431 m	200 hPa	-56.5°C	-56.6°C	-58.6°C	77 %	85 ° / 28.5 kt
11674 m	225 hPa	-50.7°C	-50.9°C	-55.9°C	54 %	84 ° / 28.2 kt
10979 m	250 hPa	-44.8°C	-45.3°C	-51.7°C	45 %	84 ° / 24.9 kt
10334 m	275 hPa	-39.2°C	-39.7°C	-47.7°C	40 %	85 ° / 20.8 kt
9731 m	300 hPa	-34.1°C	-35°C	-45°C	32 %	82 ° / 17.8 kt
9182 m	325 hPa	-29.8°C	-31.1°C	-38.5°C	42 %	86 ° / 11.1 kt
8633 m	350 hPa	-25.4°C	-26.8°C	-32.3°C	52 %	102 ° / 4.5 kt
8141 m	375 hPa	-21.4°C	-23.3°C	-29.8°C	47 %	93 ° / 3.5 kt
7648 m	400 hPa	-17.5°C	-20°C	-27.5°C	41 %	76 ° / 2.7 kt
7202 m	425 hPa	-14.4°C	-17.2°C	-24.8°C	41 %	94 ° / 1.6 kt
6755 m	450 hPa	-11.2°C	-14.6°C	-22.2°C	40 %	150 ° / 1 kt
6347 m	475 hPa	-8.7°C	-12.3°C	-19.7°C	40 %	288 ° / 1.1 kt
5939 m	500 hPa	-6.1°C	-10.1°C	-17.3°C	41 %	300 ° / 3.1 kt
5563 m	525 hPa	-4°C	-8.2°C	-15°C	42 %	301 ° / 5.4 kt
5187 m	550 hPa	-1.8°C	-6.1°C	-12.6°C	43 %	301 ° / 7.7 kt
4839 m	575 hPa	-0.4°C	-4.8°C	-11°C	45 %	287 ° / 7.9 kt
4491 m	600 hPa	1.1°C	-3.3°C	-9.3°C	46 %	274 ° / 8.6 kt
4166 m	625 hPa	3.1°C	-0.5°C	-4.5°C	57 %	269 ° / 9.5 kt
3842 m	650 hPa	5.1°C	2.3°C	-0.2°C	69 %	265 ° / 10.4 kt
3536 m	675 hPa	7.8°C	4.1°C	0.9°C	62 %	267 ° / 10.1 kt
3231 m	700 hPa	10.5°C	5.7°C	1.8°C	55 %	269 ° / 9.7 kt
3253 m	700 hPa	10.5°C	5.7°C	1.8°C	55 %	269 ° / 9.7 kt
3003 m	721 hPa	12.8°C	7°C	2.4°C	49 %	276 ° / 9.6 kt
2753 m	743 hPa	14.9°C	8.4°C	3.3°C	45 %	281 ° / 9.2 kt
2503 m	765 hPa	16.9°C	9.6°C	4.2°C	43 %	278 ° / 7.5 kt
2253 m	788 hPa	18.6°C	10.9°C	5.4°C	42 %	245 ° / 6.2 kt
2003 m	811 hPa	19.6°C	12°C	6.8°C	43 %	236 ° / 8.4 kt
1753 m	835 hPa	19.8°C	12.2°C	7°C	44 %	245 ° / 10.1 kt
1628 m	847 hPa	19.8°C	12.1°C	6.6°C	42 %	241 ° / 10.5 kt
1503 m	860 hPa	20.2°C	12.1°C	6.2°C	40 %	237 ° / 10.4 kt
1378 m	872 hPa	20.8°C	12.3°C	6°C	38 %	232 ° / 9.9 kt
1253 m	885 hPa	21.6°C	12.7°C	6.2°C	37 %	229 ° / 9.2 kt
1128 m	898 hPa	22.5°C	13.3°C	6.6°C	36 %	226 ° / 8.7 kt
1003 m	911 hPa	23.4°C	13.9°C	6.9°C	34 %	220 ° / 8.4 kt
878 m	924 hPa	24.1°C	14.9°C	8.7°C	37 %	207 ° / 8.1 kt
753 m	937 hPa	24.5°C	16.8°C	12.2°C	46 %	183 ° / 8.8 kt
628 m	950 hPa	25.2°C	17.9°C	13.9°C	50 %	173 ° / 10.1 kt
503 m	964 hPa	26°C	19°C	15.3°C	52 %	169 ° / 10.9 kt
453 m	970 hPa	26.4°C	19.4°C	15.7°C	52 %	169 ° / 11.2 kt
403 m	975 hPa	26.9°C	19.7°C	16.1°C	52 %	169 ° / 11.3 kt
353 m	981 hPa	27.4°C	20.1°C	16.4°C	51 %	169 ° / 11.1 kt
328 m	983 hPa	27.7°C	20.3°C	16.5°C	50 %	169 ° / 10.8 kt
303 m	986 hPa	28°C	20.4°C	16.6°C	50 %	169 ° / 10.2 kt
288 m	988 hPa	28.3°C	20.6°C	16.7°C	49 %	170 ° / 9.6 kt
273 m	989 hPa	28.7°C	20.7°C	16.8°C	49 %	170 ° / 8.4 kt
255 m (Sol)	992 hPa	30.4°C	21.4°C	17.1°C	45 %	171 ° / 6.6 kt
  Iso 0°C : 4746 m  	  Iso -10°C : 6558 m  	  Iso -20°C : 7962 m  
