Mercredi 6 août 2025 4:00 locale (+8h)
  	 Run 18Z du Mardi 5 août 2025  
Altitude	Pression	Température	Tw	Point de rosée	Humidité	Vent
15312 m	125 hPa	-61.5°C	-61.8°C	-77.8°C	10 %	281 ° / 23.1 kt
14186 m	150 hPa	-62.9°C	-62.5°C	-67.5°C	53 %	252 ° / 31.5 kt
13235 m	175 hPa	-61.4°C	-61.7°C	-61.7°C	97 %	235 ° / 36.2 kt
12400 m	200 hPa	-57.2°C	-57.2°C	-57.2°C	100 %	242 ° / 33.4 kt
11646 m	225 hPa	-51.3°C	-51.4°C	-51.4°C	99 %	248 ° / 30.4 kt
10953 m	250 hPa	-45.3°C	-45.7°C	-47.7°C	77 %	251 ° / 27.9 kt
10309 m	275 hPa	-39.8°C	-40.3°C	-42.5°C	76 %	258 ° / 25.2 kt
9709 m	300 hPa	-34.8°C	-35.4°C	-37.7°C	75 %	263 ° / 20.5 kt
9161 m	325 hPa	-30.3°C	-31.3°C	-35.5°C	61 %	262 ° / 18.7 kt
8613 m	350 hPa	-25.8°C	-27.3°C	-34°C	46 %	262 ° / 16.9 kt
8122 m	375 hPa	-22.2°C	-23.9°C	-29.6°C	51 %	269 ° / 15.8 kt
7631 m	400 hPa	-18.6°C	-20.2°C	-25.2°C	56 %	277 ° / 15 kt
7187 m	425 hPa	-15.4°C	-17.8°C	-24.1°C	47 %	285 ° / 15 kt
6742 m	450 hPa	-12.1°C	-15.3°C	-23.5°C	38 %	294 ° / 15.3 kt
6335 m	475 hPa	-9.6°C	-13.5°C	-22.5°C	34 %	301 ° / 13.9 kt
5928 m	500 hPa	-7.2°C	-11.7°C	-21.7°C	30 %	309 ° / 12.7 kt
5554 m	525 hPa	-5.1°C	-10°C	-20.6°C	28 %	314 ° / 13.5 kt
5180 m	550 hPa	-3.1°C	-8.5°C	-19.6°C	27 %	318 ° / 14.3 kt
4833 m	575 hPa	-0.9°C	-6.5°C	-16.2°C	30 %	315 ° / 19.4 kt
4486 m	600 hPa	1.2°C	-4.3°C	-12.8°C	34 %	314 ° / 24.5 kt
4161 m	625 hPa	3.5°C	-2°C	-9.1°C	39 %	312 ° / 27.1 kt
3837 m	650 hPa	5.8°C	0.5°C	-5.4°C	45 %	310 ° / 29.9 kt
3531 m	675 hPa	7.8°C	2.3°C	-3.4°C	45 %	310 ° / 24.9 kt
3225 m	700 hPa	9.9°C	4.2°C	-1.3°C	45 %	310 ° / 20 kt
3009 m	718 hPa	11.3°C	5.2°C	-0.5°C	44 %	305 ° / 14.5 kt
2759 m	739 hPa	12.6°C	6.9°C	2°C	48 %	288 ° / 11 kt
2509 m	762 hPa	13.6°C	9.1°C	5.9°C	60 %	272 ° / 10.3 kt
2259 m	785 hPa	14.6°C	11.2°C	9°C	69 %	263 ° / 9.5 kt
2009 m	808 hPa	16°C	12.7°C	10.7°C	71 %	248 ° / 7.7 kt
1759 m	832 hPa	18.1°C	13.7°C	11.1°C	64 %	215 ° / 8.4 kt
1509 m	857 hPa	20.4°C	14.4°C	10.8°C	54 %	201 ° / 7.5 kt
1384 m	869 hPa	21.4°C	13.9°C	9°C	45 %	200 ° / 5.5 kt
1259 m	882 hPa	21.9°C	13°C	6.6°C	37 %	200 ° / 5.2 kt
1134 m	895 hPa	22.3°C	12.8°C	5.5°C	34 %	207 ° / 7.9 kt
1009 m	907 hPa	22.9°C	13.1°C	5.5°C	32 %	207 ° / 10.4 kt
884 m	921 hPa	23.9°C	13.2°C	4.7°C	29 %	200 ° / 11.9 kt
759 m	934 hPa	25°C	14.3°C	6.3°C	30 %	198 ° / 13.2 kt
634 m	947 hPa	26°C	14.4°C	5.6°C	27 %	206 ° / 14.2 kt
509 m	961 hPa	25.9°C	15.6°C	8.4°C	33 %	224 ° / 12.6 kt
384 m	975 hPa	25.7°C	16.5°C	10.6°C	39 %	242 ° / 8.2 kt
259 m	989 hPa	26.1°C	17.3°C	11.8°C	41 %	274 ° / 4.3 kt
209 m	994 hPa	26°C	17.6°C	12.6°C	43 %	271 ° / 3.7 kt
159 m	1000 hPa	26°C	18.5°C	14.2°C	48 %	249 ° / 4.3 kt
109 m	1005 hPa	25.5°C	19.7°C	16.7°C	58 %	257 ° / 5.1 kt
84 m	1008 hPa	25.3°C	20°C	17.3°C	61 %	259 ° / 5.1 kt
59 m	1011 hPa	25.3°C	19.9°C	17.2°C	61 %	261 ° / 4.7 kt
44 m	1013 hPa	25.3°C	19.4°C	16.3°C	58 %	266 ° / 4.1 kt
29 m	1015 hPa	25.4°C	18.4°C	14.4°C	50 %	276 ° / 3.3 kt
11 m (Sol)	1017 hPa	23.1°C	18.5°C	15.9°C	64 %	277 ° / 2.3 kt
  Iso 0°C : 4679 m  	  Iso -10°C : 6400 m  	  Iso -20°C : 7815 m 
