Mercredi 6 août 2025 15:00 locale (+13h)
  	 Run 00Z du Mercredi 6 août 2025  
Altitude	Pression	Température	Tw	Point de rosée	Humidité	Vent
15300 m	125 hPa	-62.1°C	-61.7°C	-79.7°C	8 %	282 ° / 24.8 kt
14170 m	150 hPa	-60.9°C	-60.7°C	-73.7°C	17 %	271 ° / 23.5 kt
13211 m	175 hPa	-60.1°C	-60.2°C	-64.2°C	58 %	260 ° / 20.5 kt
12373 m	200 hPa	-56.8°C	-57.2°C	-60.2°C	65 %	270 ° / 19.2 kt
11619 m	225 hPa	-51.8°C	-52.3°C	-56.6°C	56 %	298 ° / 17.6 kt
10927 m	250 hPa	-46.2°C	-46.5°C	-52.5°C	49 %	319 ° / 18.2 kt
10287 m	275 hPa	-40.8°C	-41.6°C	-49.9°C	37 %	312 ° / 17.3 kt
9688 m	300 hPa	-35.7°C	-36.7°C	-45.2°C	37 %	292 ° / 17.7 kt
9143 m	325 hPa	-31.3°C	-32.6°C	-41.8°C	35 %	279 ° / 20.2 kt
8597 m	350 hPa	-26.9°C	-28.6°C	-38.6°C	32 %	269 ° / 23.4 kt
8108 m	375 hPa	-23°C	-25.5°C	-37.8°C	25 %	267 ° / 21.3 kt
7619 m	400 hPa	-19.1°C	-22.3°C	-38°C	17 %	265 ° / 19.1 kt
7176 m	425 hPa	-16.3°C	-19.9°C	-35.3°C	18 %	258 ° / 18.1 kt
6733 m	450 hPa	-13.4°C	-17.5°C	-32.6°C	18 %	250 ° / 17.4 kt
6328 m	475 hPa	-10.5°C	-15.2°C	-32.2°C	15 %	253 ° / 17 kt
5923 m	500 hPa	-7.6°C	-13.3°C	-32.5°C	12 %	256 ° / 16.7 kt
5549 m	525 hPa	-5.5°C	-10.6°C	-22.9°C	24 %	268 ° / 18.3 kt
5175 m	550 hPa	-3.3°C	-7.9°C	-16.2°C	36 %	277 ° / 20.4 kt
4829 m	575 hPa	-1.3°C	-5.9°C	-13.4°C	39 %	284 ° / 22.7 kt
4482 m	600 hPa	0.8°C	-3.9°C	-10.7°C	42 %	289 ° / 25.2 kt
4158 m	625 hPa	3.2°C	-1.2°C	-6.3°C	50 %	292 ° / 24.9 kt
3833 m	650 hPa	5.6°C	1.7°C	-2.1°C	58 %	294 ° / 24.6 kt
3527 m	675 hPa	8.2°C	3.6°C	-0.5°C	54 %	295 ° / 22.8 kt
3221 m	700 hPa	10.9°C	5.6°C	1.1°C	51 %	297 ° / 21.1 kt
3154 m	706 hPa	11.5°C	6°C	1.4°C	50 %	296 ° / 20.7 kt
2904 m	728 hPa	13.3°C	7.3°C	2.4°C	48 %	295 ° / 18.9 kt
2654 m	750 hPa	14.8°C	8.3°C	3.2°C	46 %	289 ° / 16.5 kt
2404 m	772 hPa	15.7°C	9.1°C	3.9°C	45 %	279 ° / 15.4 kt
2154 m	795 hPa	16.7°C	9.9°C	4.7°C	45 %	271 ° / 18.5 kt
1904 m	819 hPa	17.9°C	10.8°C	5.5°C	44 %	263 ° / 21.8 kt
1654 m	843 hPa	18.4°C	11.6°C	6.8°C	47 %	259 ° / 19.7 kt
1529 m	855 hPa	18.4°C	12.7°C	8.9°C	54 %	263 ° / 17.2 kt
1404 m	868 hPa	18.7°C	13.9°C	10.9°C	61 %	267 ° / 15.2 kt
1279 m	881 hPa	19.3°C	14.8°C	12.1°C	63 %	265 ° / 13.7 kt
1154 m	893 hPa	20.1°C	15.6°C	13°C	64 %	256 ° / 12 kt
1029 m	906 hPa	20.7°C	16.4°C	14.1°C	66 %	239 ° / 10.2 kt
904 m	920 hPa	21.3°C	17.3°C	15.3°C	69 %	216 ° / 9.5 kt
779 m	933 hPa	22.1°C	18°C	15.9°C	68 %	202 ° / 10.1 kt
654 m	946 hPa	23°C	18.6°C	16.3°C	66 %	192 ° / 11.2 kt
529 m	960 hPa	24°C	19.2°C	16.7°C	64 %	187 ° / 12.2 kt
404 m	974 hPa	25.1°C	19.8°C	17.1°C	61 %	184 ° / 13 kt
354 m	979 hPa	25.6°C	20°C	17.2°C	60 %	183 ° / 13.1 kt
304 m	985 hPa	26.1°C	20.2°C	17.3°C	58 %	182 ° / 13.2 kt
254 m	991 hPa	26.7°C	20.5°C	17.5°C	57 %	181 ° / 13 kt
229 m	993 hPa	27°C	20.6°C	17.5°C	56 %	181 ° / 12.7 kt
204 m	996 hPa	27.3°C	20.8°C	17.6°C	55 %	181 ° / 12.1 kt
189 m	998 hPa	27.6°C	20.9°C	17.6°C	55 %	181 ° / 11.5 kt
174 m	999 hPa	27.9°C	21°C	17.7°C	54 %	181 ° / 10.5 kt
156 m (Sol)	1002 hPa	30°C	21.8°C	17.9°C	48 %	181 ° / 8.9 kt
  Iso 0°C : 4613 m  	  Iso -10°C : 6252 m  	  Iso -20°C : 7729 m  
