Jeudi 7 août 2025 10:00 locale (+8h)
  	 Run 00Z du Jeudi 7 août 2025  
Altitude	Pression	Température	Tw	Point de rosée	Humidité	Vent
15313 m	125 hPa	-64.4°C	-63.9°C	-75.9°C	19 %	61 ° / 6.2 kt
14199 m	150 hPa	-63.8°C	-64.1°C	-67.1°C	64 %	61 ° / 22.6 kt
13250 m	175 hPa	-61.6°C	-62°C	-62°C	95 %	69 ° / 24.7 kt
12414 m	200 hPa	-56.4°C	-56.5°C	-56.5°C	100 %	69 ° / 28.9 kt
11657 m	225 hPa	-50.8°C	-50.8°C	-50.8°C	100 %	57 ° / 27.7 kt
10962 m	250 hPa	-44.9°C	-45.2°C	-45.6°C	93 %	54 ° / 24 kt
10317 m	275 hPa	-39.4°C	-39.7°C	-43.7°C	63 %	54 ° / 22.1 kt
9715 m	300 hPa	-34.6°C	-35.1°C	-38.1°C	70 %	56 ° / 17.9 kt
9167 m	325 hPa	-30.1°C	-31°C	-35°C	62 %	53 ° / 10.4 kt
8619 m	350 hPa	-25.6°C	-27°C	-32.3°C	53 %	38 ° / 2.9 kt
8127 m	375 hPa	-21.5°C	-23.2°C	-30.2°C	45 %	30 ° / 4.3 kt
7634 m	400 hPa	-17.3°C	-20°C	-28.5°C	37 %	26 ° / 5.6 kt
7188 m	425 hPa	-14.3°C	-17.3°C	-25.4°C	38 %	19 ° / 5.3 kt
6741 m	450 hPa	-11.3°C	-14.6°C	-22.3°C	40 %	12 ° / 5 kt
6333 m	475 hPa	-8.9°C	-12.4°C	-19.6°C	41 %	326 ° / 4 kt
5925 m	500 hPa	-6.5°C	-10.2°C	-17°C	43 %	286 ° / 5.8 kt
5550 m	525 hPa	-4.6°C	-8.4°C	-14.7°C	45 %	293 ° / 8.4 kt
5175 m	550 hPa	-2.7°C	-6.6°C	-12.4°C	47 %	296 ° / 11.1 kt
4828 m	575 hPa	-1.3°C	-4.5°C	-8.8°C	57 %	298 ° / 10.4 kt
4481 m	600 hPa	0.1°C	-2.5°C	-5.5°C	66 %	300 ° / 9.8 kt
4157 m	625 hPa	2.3°C	-0°C	-2.4°C	71 %	291 ° / 10.5 kt
3834 m	650 hPa	4.5°C	2.4°C	0.6°C	76 %	283 ° / 11.5 kt
3529 m	675 hPa	7.3°C	4.3°C	1.8°C	68 %	278 ° / 12.3 kt
3253 m	699 hPa	10°C	6°C	2.9°C	61 %	273 ° / 13.1 kt
3003 m	721 hPa	12.4°C	7.4°C	3.5°C	55 %	272 ° / 13.1 kt
2753 m	742 hPa	14.7°C	8.5°C	3.9°C	48 %	271 ° / 12.6 kt
2503 m	765 hPa	16.9°C	9.7°C	4.4°C	44 %	270 ° / 11.2 kt
2253 m	787 hPa	18.8°C	10.8°C	5.1°C	40 %	270 ° / 8.1 kt
2003 m	810 hPa	19.7°C	11.8°C	6.3°C	42 %	263 ° / 4.9 kt
1753 m	834 hPa	20.4°C	12.1°C	6.1°C	39 %	251 ° / 7.1 kt
1628 m	846 hPa	20.7°C	11.8°C	5°C	36 %	243 ° / 9.4 kt
1503 m	859 hPa	21°C	11.6°C	4.1°C	33 %	234 ° / 11 kt
1378 m	871 hPa	21.2°C	11.6°C	3.8°C	32 %	224 ° / 11.1 kt
1253 m	884 hPa	21.5°C	11.8°C	3.9°C	32 %	216 ° / 10.1 kt
1128 m	897 hPa	22.1°C	12.2°C	4.3°C	31 %	208 ° / 9 kt
1003 m	910 hPa	22.8°C	12.7°C	4.6°C	31 %	202 ° / 7.8 kt
878 m	923 hPa	23.3°C	13.3°C	5.6°C	32 %	197 ° / 6.7 kt
753 m	936 hPa	23.3°C	14.9°C	9.1°C	40 %	198 ° / 5.6 kt
628 m	950 hPa	23°C	17.1°C	13.7°C	56 %	203 ° / 4.3 kt
503 m	964 hPa	22.8°C	19°C	17.1°C	70 %	210 ° / 2.7 kt
453 m	969 hPa	22.8°C	19.3°C	17.6°C	73 %	215 ° / 1.5 kt
403 m	975 hPa	23.1°C	19.3°C	17.4°C	71 %	233 ° / 0.8 kt
353 m	980 hPa	23.5°C	19.4°C	17.4°C	69 %	260 ° / 0.6 kt
328 m	983 hPa	23.7°C	19.5°C	17.4°C	68 %	277 ° / 0.6 kt
303 m	986 hPa	24°C	19.7°C	17.5°C	67 %	289 ° / 0.7 kt
288 m	988 hPa	24.2°C	19.7°C	17.5°C	66 %	295 ° / 0.8 kt
273 m	989 hPa	24.4°C	19.8°C	17.5°C	66 %	300 ° / 0.8 kt
255 m (Sol)	992 hPa	25.3°C	20.4°C	18°C	64 %	303 ° / 0.8 kt
  Iso 0°C : 4513 m  	  Iso -10°C : 6522 m  	  Iso -20°C : 7953 m  
