Mercredi 6 août 2025 16:00 locale (+14h)
  	 Run 00Z du Mercredi 6 août 2025  
Altitude	Pression	Température	Tw	Point de rosée	Humidité	Vent
15302 m	125 hPa	-60.7°C	-61.1°C	-80.1°C	6 %	287 ° / 22.6 kt
14170 m	150 hPa	-61.1°C	-61.6°C	-73.6°C	18 %	277 ° / 27.9 kt
13210 m	175 hPa	-59.7°C	-59.6°C	-64.6°C	53 %	263 ° / 21.9 kt
12372 m	200 hPa	-57.4°C	-57.5°C	-58.5°C	87 %	290 ° / 12.5 kt
11620 m	225 hPa	-52.2°C	-52.2°C	-52.2°C	99 %	332 ° / 21.1 kt
10928 m	250 hPa	-45.7°C	-45.8°C	-45.8°C	99 %	333 ° / 21.8 kt
10286 m	275 hPa	-40.4°C	-40.9°C	-45.9°C	55 %	324 ° / 14.1 kt
9687 m	300 hPa	-35.7°C	-36.7°C	-44.8°C	39 %	291 ° / 16 kt
9142 m	325 hPa	-31.4°C	-32.4°C	-41.4°C	37 %	280 ° / 19.7 kt
8596 m	350 hPa	-27°C	-28.7°C	-38°C	34 %	273 ° / 24 kt
8107 m	375 hPa	-22.9°C	-25.3°C	-37.7°C	25 %	272 ° / 23 kt
7618 m	400 hPa	-18.9°C	-22.2°C	-39.2°C	15 %	272 ° / 22.1 kt
7175 m	425 hPa	-16°C	-19.7°C	-35.8°C	16 %	261 ° / 22.1 kt
6731 m	450 hPa	-13.2°C	-17.4°C	-32.5°C	18 %	250 ° / 22.9 kt
6326 m	475 hPa	-10.6°C	-15.4°C	-32.4°C	15 %	255 ° / 20.6 kt
5921 m	500 hPa	-7.9°C	-13.4°C	-32.8°C	12 %	262 ° / 18.6 kt
5548 m	525 hPa	-5.7°C	-11°C	-24.6°C	21 %	273 ° / 18.9 kt
5175 m	550 hPa	-3.5°C	-8.4°C	-18.4°C	30 %	284 ° / 19.8 kt
4828 m	575 hPa	-1.3°C	-6.4°C	-15.1°C	34 %	290 ° / 21.6 kt
4481 m	600 hPa	1°C	-4.1°C	-11.8°C	38 %	296 ° / 23.7 kt
4157 m	625 hPa	3.4°C	-1.6°C	-7.9°C	43 %	296 ° / 24.9 kt
3832 m	650 hPa	5.9°C	1.1°C	-4°C	49 %	295 ° / 26.1 kt
3526 m	675 hPa	8.5°C	3.2°C	-1.8°C	48 %	295 ° / 23.3 kt
3219 m	700 hPa	11.2°C	5.4°C	0.4°C	48 %	295 ° / 20.4 kt
3154 m	706 hPa	11.8°C	5.8°C	0.7°C	47 %	295 ° / 19.7 kt
2904 m	728 hPa	13.8°C	7.2°C	1.8°C	44 %	297 ° / 17.7 kt
2654 m	749 hPa	15.4°C	8.5°C	3.1°C	43 %	299 ° / 15.3 kt
2404 m	772 hPa	17°C	9.6°C	3.9°C	42 %	294 ° / 12.8 kt
2154 m	795 hPa	17.8°C	10.1°C	4.2°C	41 %	276 ° / 12.4 kt
1904 m	818 hPa	18.1°C	10.4°C	4.6°C	41 %	263 ° / 17.3 kt
1654 m	843 hPa	18.5°C	11.4°C	6.1°C	44 %	258 ° / 19.6 kt
1529 m	855 hPa	18.7°C	12.5°C	8.2°C	50 %	260 ° / 17.9 kt
1404 m	867 hPa	19.1°C	13.6°C	10.1°C	56 %	263 ° / 16 kt
1279 m	880 hPa	19.8°C	14.5°C	11.3°C	58 %	262 ° / 14.5 kt
1154 m	893 hPa	20.5°C	15.3°C	12.2°C	59 %	257 ° / 13.3 kt
1029 m	906 hPa	21.3°C	16.1°C	13.2°C	60 %	248 ° / 11.9 kt
904 m	919 hPa	21.9°C	17°C	14.3°C	62 %	232 ° / 10.6 kt
779 m	932 hPa	22.5°C	17.8°C	15.4°C	64 %	213 ° / 10.4 kt
654 m	946 hPa	23.4°C	18.5°C	16.1°C	64 %	200 ° / 11.3 kt
529 m	959 hPa	24.3°C	19.2°C	16.6°C	62 %	192 ° / 12.4 kt
404 m	973 hPa	25.3°C	19.7°C	17°C	60 %	188 ° / 13.2 kt
354 m	979 hPa	25.7°C	20°C	17.1°C	59 %	187 ° / 13.4 kt
304 m	984 hPa	26.2°C	20.2°C	17.3°C	58 %	186 ° / 13.4 kt
254 m	990 hPa	26.7°C	20.5°C	17.4°C	57 %	185 ° / 13.2 kt
229 m	993 hPa	27.1°C	20.6°C	17.5°C	56 %	184 ° / 12.8 kt
204 m	995 hPa	27.4°C	20.8°C	17.5°C	55 %	184 ° / 12.2 kt
189 m	997 hPa	27.7°C	20.9°C	17.6°C	54 %	184 ° / 11.6 kt
174 m	999 hPa	28°C	21°C	17.6°C	53 %	184 ° / 10.5 kt
156 m (Sol)	1001 hPa	30.1°C	21.8°C	17.9°C	48 %	184 ° / 8.9 kt
  Iso 0°C : 4631 m  	  Iso -10°C : 6239 m  	  Iso -20°C : 7755 m 
