Vendredi 8 août 2025 6:00 locale (+4h)
  	 Run 00Z du Vendredi 8 août 2025  
Altitude	Pression	Température	Tw	Point de rosée	Humidité	Vent
15331 m	125 hPa	-61.6°C	-62.3°C	-82.3°C	5 %	213 ° / 14.2 kt
14197 m	150 hPa	-60.5°C	-60.9°C	-70.9°C	24 %	168 ° / 20.3 kt
13242 m	175 hPa	-61.5°C	-61.1°C	-62.1°C	93 %	135 ° / 38.3 kt
12406 m	200 hPa	-56.5°C	-56.3°C	-60.3°C	62 %	130 ° / 41.3 kt
11650 m	225 hPa	-51.2°C	-51.7°C	-58°C	44 %	131 ° / 39.5 kt
10957 m	250 hPa	-45.5°C	-45.7°C	-52.7°C	44 %	134 ° / 33.3 kt
10315 m	275 hPa	-40.6°C	-40.7°C	-44.7°C	64 %	141 ° / 20.4 kt
9716 m	300 hPa	-35.2°C	-36.1°C	-41.6°C	52 %	140 ° / 18.1 kt
9169 m	325 hPa	-31.1°C	-31.7°C	-36.7°C	58 %	142 ° / 15.2 kt
8622 m	350 hPa	-26.9°C	-27.9°C	-31.9°C	63 %	145 ° / 12.4 kt
8133 m	375 hPa	-22.8°C	-24.3°C	-30.3°C	50 %	146 ° / 9.2 kt
7644 m	400 hPa	-18.6°C	-21.1°C	-29.7°C	37 %	150 ° / 6.1 kt
7199 m	425 hPa	-15.2°C	-18.2°C	-26.6°C	37 %	144 ° / 8.2 kt
6754 m	450 hPa	-11.9°C	-15.2°C	-23.4°C	38 %	141 ° / 10.4 kt
6346 m	475 hPa	-9.2°C	-13.2°C	-23.2°C	31 %	143 ° / 8.7 kt
5939 m	500 hPa	-6.5°C	-11.5°C	-23.5°C	25 %	147 ° / 6.9 kt
5564 m	525 hPa	-4.4°C	-9°C	-17.2°C	36 %	139 ° / 2.4 kt
5189 m	550 hPa	-2.3°C	-6.2°C	-11.8°C	48 %	343 ° / 2.4 kt
4840 m	575 hPa	0.1°C	-4.7°C	-11.7°C	41 %	337 ° / 4.3 kt
4491 m	600 hPa	2.5°C	-3.4°C	-12.1°C	33 %	334 ° / 6.2 kt
4166 m	625 hPa	3.9°C	-1.4°C	-8.1°C	41 %	339 ° / 5.8 kt
3841 m	650 hPa	5.3°C	0.7°C	-4.4°C	49 %	343 ° / 5.6 kt
3536 m	675 hPa	7.8°C	1.9°C	-4.4°C	42 %	305 ° / 3.6 kt
3230 m	700 hPa	10.2°C	3°C	-4.9°C	34 %	253 ° / 4.5 kt
3121 m	705 hPa	10.7°C	3.3°C	-4.6°C	34 %	249 ° / 5.4 kt
2871 m	726 hPa	12.8°C	5.1°C	-2.7°C	34 %	242 ° / 7.5 kt
2621 m	748 hPa	14.9°C	6.5°C	-1.5°C	32 %	248 ° / 7 kt
2371 m	771 hPa	16.7°C	8.3°C	1.2°C	35 %	260 ° / 6.7 kt
2121 m	794 hPa	18.3°C	10.1°C	3.8°C	38 %	256 ° / 6.8 kt
1871 m	817 hPa	20°C	11.4°C	4.9°C	37 %	245 ° / 8.2 kt
1621 m	841 hPa	21.6°C	12.2°C	5.2°C	34 %	245 ° / 9.1 kt
1496 m	853 hPa	22°C	12.3°C	5°C	33 %	244 ° / 9.1 kt
1371 m	866 hPa	22.4°C	12.3°C	4.6°C	31 %	242 ° / 9.2 kt
1246 m	878 hPa	22.7°C	12.3°C	4°C	30 %	238 ° / 9.4 kt
1121 m	891 hPa	23.1°C	12.3°C	3.5°C	28 %	235 ° / 9.9 kt
996 m	904 hPa	23.6°C	12.4°C	3°C	26 %	234 ° / 10.2 kt
871 m	917 hPa	24.2°C	12.6°C	2.9°C	25 %	233 ° / 10 kt
746 m	930 hPa	24.8°C	13.1°C	3.2°C	24 %	230 ° / 9 kt
621 m	943 hPa	25.5°C	13.6°C	3.8°C	25 %	224 ° / 7.1 kt
496 m	957 hPa	26°C	14.4°C	5.3°C	27 %	206 ° / 5.6 kt
371 m	971 hPa	26.3°C	15.3°C	7.3°C	30 %	215 ° / 3.8 kt
321 m	976 hPa	26.3°C	15.9°C	8.7°C	33 %	234 ° / 2.9 kt
271 m	982 hPa	26.4°C	16.4°C	9.7°C	35 %	255 ° / 2.4 kt
221 m	987 hPa	26.3°C	17.3°C	11.6°C	40 %	277 ° / 2 kt
196 m	990 hPa	26.1°C	18°C	13.3°C	45 %	289 ° / 1.8 kt
171 m	993 hPa	25.9°C	18.3°C	13.9°C	48 %	304 ° / 1.6 kt
156 m	995 hPa	25.9°C	18.3°C	13.9°C	47 %	316 ° / 1.5 kt
141 m	996 hPa	26°C	17.3°C	11.8°C	41 %	319 ° / 1.7 kt
123 m (Sol)	999 hPa	23.6°C	16.4°C	11.7°C	47 %	335 ° / 2.5 kt
  Iso 0°C : 4850 m  	  Iso -10°C : 6466 m  	  Iso -20°C : 7810 m  
