Vendredi 8 août 2025 7:00 locale (+5h)
  	 Run 00Z du Vendredi 8 août 2025  
Altitude	Pression	Température	Tw	Point de rosée	Humidité	Vent
15330 m	125 hPa	-61.9°C	-61.8°C	-81.8°C	5 %	214 ° / 12.7 kt
14197 m	150 hPa	-59.8°C	-59.8°C	-71.8°C	19 %	176 ° / 19.6 kt
13239 m	175 hPa	-61.5°C	-61.5°C	-62.5°C	87 %	137 ° / 36.4 kt
12404 m	200 hPa	-56.8°C	-57.2°C	-60.2°C	65 %	132 ° / 42 kt
11648 m	225 hPa	-51.1°C	-51.1°C	-58.1°C	43 %	131 ° / 40 kt
10955 m	250 hPa	-45.7°C	-46.2°C	-52.3°C	47 %	135 ° / 33.6 kt
10314 m	275 hPa	-40.6°C	-41.2°C	-45.6°C	59 %	136 ° / 21 kt
9715 m	300 hPa	-35.5°C	-36°C	-42°C	51 %	135 ° / 18.7 kt
9169 m	325 hPa	-31.2°C	-32°C	-37°C	57 %	140 ° / 16.3 kt
8622 m	350 hPa	-27°C	-28°C	-32°C	62 %	146 ° / 14 kt
8133 m	375 hPa	-22.8°C	-24.5°C	-30.7°C	48 %	148 ° / 10.1 kt
7644 m	400 hPa	-18.5°C	-21.1°C	-30.3°C	35 %	154 ° / 6.2 kt
7199 m	425 hPa	-15.2°C	-18.2°C	-26.9°C	36 %	150 ° / 8.1 kt
6754 m	450 hPa	-11.9°C	-15.2°C	-23.5°C	37 %	148 ° / 10 kt
6346 m	475 hPa	-9.3°C	-13.3°C	-23°C	32 %	150 ° / 8.2 kt
5939 m	500 hPa	-6.6°C	-11.5°C	-22.9°C	26 %	153 ° / 6.4 kt
5564 m	525 hPa	-4.5°C	-9°C	-17°C	37 %	151 ° / 2.3 kt
5189 m	550 hPa	-2.4°C	-6.3°C	-11.9°C	48 %	338 ° / 1.9 kt
4841 m	575 hPa	-0.1°C	-4.8°C	-11.7°C	41 %	347 ° / 3.9 kt
4493 m	600 hPa	2.2°C	-3.6°C	-12°C	34 %	350 ° / 5.9 kt
4167 m	625 hPa	3.8°C	-1.5°C	-8.1°C	42 %	353 ° / 5.4 kt
3842 m	650 hPa	5.4°C	0.6°C	-4.5°C	49 %	355 ° / 4.8 kt
3537 m	675 hPa	7.8°C	2°C	-4.2°C	42 %	322 ° / 3.7 kt
3232 m	700 hPa	10.2°C	3.2°C	-4.4°C	36 %	284 ° / 4.4 kt
3121 m	705 hPa	10.7°C	3.4°C	-4.3°C	35 %	276 ° / 5.3 kt
2871 m	727 hPa	13°C	4.9°C	-3.4°C	32 %	261 ° / 7.7 kt
2621 m	748 hPa	15.2°C	6.3°C	-2.4°C	30 %	259 ° / 7.4 kt
2371 m	771 hPa	17.1°C	8°C	-0.3°C	31 %	265 ° / 5.9 kt
2121 m	794 hPa	18.4°C	9.9°C	3°C	36 %	264 ° / 4.9 kt
1871 m	817 hPa	19.9°C	11.1°C	4.6°C	37 %	252 ° / 5.9 kt
1621 m	841 hPa	21.4°C	12.1°C	5.2°C	35 %	243 ° / 7.6 kt
1496 m	853 hPa	21.9°C	12.3°C	5.1°C	33 %	238 ° / 8 kt
1371 m	866 hPa	22.3°C	12.3°C	4.6°C	31 %	231 ° / 8.2 kt
1246 m	878 hPa	22.8°C	12.3°C	4°C	29 %	226 ° / 8.6 kt
1121 m	891 hPa	23.2°C	12.3°C	3.3°C	27 %	227 ° / 9.4 kt
996 m	904 hPa	23.6°C	12.4°C	2.9°C	26 %	229 ° / 10.6 kt
871 m	917 hPa	24.1°C	12.5°C	2.6°C	24 %	231 ° / 11.3 kt
746 m	930 hPa	24.8°C	12.8°C	2.3°C	23 %	231 ° / 10.5 kt
621 m	944 hPa	25.5°C	13.2°C	2.7°C	23 %	230 ° / 8.3 kt
496 m	957 hPa	26.2°C	14°C	4°C	24 %	218 ° / 5.9 kt
371 m	971 hPa	26.5°C	15.1°C	6.4°C	28 %	219 ° / 4 kt
321 m	976 hPa	26.7°C	15.6°C	7.6°C	30 %	232 ° / 2.9 kt
271 m	982 hPa	26.7°C	16.3°C	9.3°C	34 %	242 ° / 2.1 kt
221 m	987 hPa	26.4°C	17.4°C	11.8°C	40 %	231 ° / 1.2 kt
196 m	990 hPa	26.3°C	17.8°C	12.7°C	43 %	221 ° / 0.7 kt
171 m	993 hPa	26.2°C	17.7°C	12.6°C	43 %	235 ° / 0.2 kt
156 m	995 hPa	26.1°C	17.5°C	12.1°C	42 %	320 ° / 0.2 kt
141 m	996 hPa	25.9°C	17°C	11.2°C	40 %	330 ° / 1 kt
123 m (Sol)	999 hPa	23.4°C	16.7°C	12.5°C	51 %	339 ° / 1.9 kt
  Iso 0°C : 4820 m  	  Iso -10°C : 6458 m  	  Iso -20°C : 7813 m  
