Mercredi 6 août 2025 17:00 locale (+15h)
  	 Run 00Z du Mercredi 6 août 2025  
Altitude	Pression	Température	Tw	Point de rosée	Humidité	Vent
15304 m	125 hPa	-61.1°C	-61.3°C	-78.3°C	9 %	292 ° / 20.1 kt
14171 m	150 hPa	-60.7°C	-61.2°C	-73.2°C	18 %	284 ° / 27.6 kt
13211 m	175 hPa	-60.1°C	-59.9°C	-65.9°C	47 %	275 ° / 21.6 kt
12375 m	200 hPa	-57.8°C	-57.9°C	-57.9°C	98 %	313 ° / 13.8 kt
11623 m	225 hPa	-51.8°C	-51.8°C	-51.8°C	100 %	335 ° / 24.9 kt
10930 m	250 hPa	-45.3°C	-45.3°C	-45.3°C	100 %	321 ° / 22.4 kt
10287 m	275 hPa	-40°C	-39.8°C	-40.8°C	91 %	318 ° / 15.5 kt
9687 m	300 hPa	-35.7°C	-36.3°C	-40.3°C	62 %	286 ° / 12.3 kt
9142 m	325 hPa	-31.5°C	-32.6°C	-38.6°C	50 %	280 ° / 19.1 kt
8597 m	350 hPa	-27.3°C	-28.7°C	-37.7°C	37 %	277 ° / 26 kt
8108 m	375 hPa	-23.2°C	-25.6°C	-37.8°C	25 %	278 ° / 26.7 kt
7620 m	400 hPa	-19.1°C	-22.5°C	-40.5°C	13 %	279 ° / 27.3 kt
7177 m	425 hPa	-16.1°C	-19.8°C	-35.8°C	17 %	270 ° / 26.9 kt
6733 m	450 hPa	-13.2°C	-17.2°C	-31.5°C	20 %	261 ° / 27.2 kt
6328 m	475 hPa	-10.3°C	-14.9°C	-29.5°C	19 %	264 ° / 24.2 kt
5923 m	500 hPa	-7.5°C	-12.6°C	-27.6°C	18 %	268 ° / 21.3 kt
5549 m	525 hPa	-5.3°C	-10.9°C	-24.9°C	20 %	275 ° / 19.4 kt
5175 m	550 hPa	-3.1°C	-8.9°C	-22.2°C	21 %	282 ° / 17.7 kt
4828 m	575 hPa	-1.2°C	-6.6°C	-16.5°C	30 %	289 ° / 19.3 kt
4481 m	600 hPa	0.8°C	-4.2°C	-11.6°C	39 %	294 ° / 21.1 kt
4157 m	625 hPa	3.3°C	-1.8°C	-8.1°C	43 %	293 ° / 22.9 kt
3833 m	650 hPa	5.8°C	0.8°C	-4.6°C	47 %	291 ° / 24.8 kt
3526 m	675 hPa	8.5°C	3.1°C	-2.3°C	46 %	292 ° / 21.8 kt
3220 m	700 hPa	11.3°C	5.3°C	-0°C	46 %	293 ° / 18.9 kt
3154 m	706 hPa	12°C	5.7°C	0.3°C	45 %	293 ° / 18.1 kt
2904 m	728 hPa	14.1°C	7.1°C	1.3°C	42 %	293 ° / 15.8 kt
2654 m	749 hPa	16.1°C	8.4°C	2.3°C	39 %	295 ° / 13.7 kt
2404 m	772 hPa	17.8°C	9.7°C	3.6°C	39 %	298 ° / 11.2 kt
2154 m	795 hPa	19.2°C	10.8°C	4.6°C	38 %	293 ° / 9.4 kt
1904 m	818 hPa	19.4°C	11°C	4.7°C	38 %	274 ° / 12.1 kt
1654 m	842 hPa	18.9°C	11.2°C	5.3°C	41 %	263 ° / 19.5 kt
1529 m	855 hPa	18.9°C	12°C	7.1°C	46 %	262 ° / 19.8 kt
1404 m	867 hPa	19.1°C	13.2°C	9.4°C	53 %	263 ° / 18.2 kt
1279 m	880 hPa	19.7°C	14.4°C	11.2°C	58 %	262 ° / 16.6 kt
1154 m	893 hPa	20.4°C	15.4°C	12.4°C	60 %	257 ° / 15.4 kt
1029 m	906 hPa	21.2°C	16.3°C	13.5°C	61 %	249 ° / 14.2 kt
904 m	919 hPa	21.9°C	17.2°C	14.6°C	63 %	237 ° / 12.9 kt
779 m	932 hPa	22.5°C	18°C	15.7°C	65 %	219 ° / 11.9 kt
654 m	945 hPa	23.3°C	18.8°C	16.5°C	66 %	204 ° / 12.1 kt
529 m	959 hPa	24.1°C	19.4°C	17°C	65 %	194 ° / 13 kt
404 m	973 hPa	25.1°C	20°C	17.5°C	63 %	188 ° / 13.8 kt
354 m	978 hPa	25.5°C	20.2°C	17.7°C	62 %	186 ° / 14 kt
304 m	984 hPa	26°C	20.5°C	17.8°C	61 %	185 ° / 13.9 kt
254 m	989 hPa	26.5°C	20.7°C	18°C	59 %	183 ° / 13.7 kt
229 m	992 hPa	26.8°C	20.9°C	18°C	59 %	183 ° / 13.3 kt
204 m	995 hPa	27.1°C	21°C	18.1°C	58 %	182 ° / 12.6 kt
189 m	997 hPa	27.4°C	21.1°C	18.1°C	57 %	182 ° / 12 kt
174 m	998 hPa	27.7°C	21.3°C	18.2°C	56 %	182 ° / 10.9 kt
156 m (Sol)	1001 hPa	30°C	22.4°C	18.9°C	51 %	181 ° / 9.2 kt
  Iso 0°C : 4622 m  	  Iso -10°C : 6277 m  	  Iso -20°C : 7726 m 
