Samedi 9 août 2025 1:00 locale (+11h)
  	 Run 12Z du Vendredi 8 août 2025  
Altitude	Pression	Température	Tw	Point de rosée	Humidité	Vent
15356 m	125 hPa	-59.3°C	-59.2°C	-82.2°C	4 %	214 ° / 16.2 kt
14204 m	150 hPa	-55.5°C	-55.7°C	-78.7°C	4 %	185 ° / 14.5 kt
13222 m	175 hPa	-55.7°C	-56.1°C	-68.1°C	20 %	149 ° / 9.7 kt
12373 m	200 hPa	-56.2°C	-56.6°C	-58.6°C	74 %	114 ° / 18.5 kt
11622 m	225 hPa	-53.3°C	-53.4°C	-53.4°C	100 %	121 ° / 22.4 kt
10935 m	250 hPa	-47.7°C	-48°C	-49°C	87 %	122 ° / 21.7 kt
10298 m	275 hPa	-42°C	-42.2°C	-46.2°C	64 %	121 ° / 22.6 kt
9703 m	300 hPa	-36.7°C	-37.1°C	-42.1°C	58 %	118 ° / 23.1 kt
9159 m	325 hPa	-32.3°C	-33.1°C	-40.1°C	46 %	111 ° / 20.3 kt
8616 m	350 hPa	-27.8°C	-29.4°C	-38.9°C	34 %	102 ° / 17.9 kt
8129 m	375 hPa	-24.1°C	-26.2°C	-36.3°C	32 %	110 ° / 14.6 kt
7642 m	400 hPa	-20.4°C	-22.7°C	-33.7°C	29 %	122 ° / 11.7 kt
7201 m	425 hPa	-17.2°C	-19.4°C	-25.7°C	48 %	124 ° / 10.2 kt
6759 m	450 hPa	-14°C	-15.6°C	-18.9°C	66 %	127 ° / 8.8 kt
6355 m	475 hPa	-11°C	-13.3°C	-17.6°C	58 %	131 ° / 9 kt
5950 m	500 hPa	-8.1°C	-11°C	-16.5°C	51 %	135 ° / 9.3 kt
5576 m	525 hPa	-5.5°C	-9°C	-15.1°C	47 %	121 ° / 8.5 kt
5202 m	550 hPa	-2.9°C	-7.1°C	-13.8°C	43 %	106 ° / 8.1 kt
4855 m	575 hPa	-0.9°C	-5.3°C	-11.9°C	43 %	86 ° / 8.3 kt
4508 m	600 hPa	1.2°C	-3.5°C	-10°C	43 %	70 ° / 9.4 kt
4183 m	625 hPa	3.5°C	-1.9°C	-9.2°C	39 %	55 ° / 13.2 kt
3858 m	650 hPa	5.9°C	-0.4°C	-8.6°C	34 %	47 ° / 17.4 kt
3553 m	675 hPa	8.3°C	1.7°C	-5.9°C	36 %	46 ° / 16.5 kt
3247 m	700 hPa	10.6°C	3.8°C	-3.2°C	38 %	45 ° / 15.6 kt
3069 m	712 hPa	11.8°C	4.8°C	-2.1°C	38 %	46 ° / 15.2 kt
2819 m	734 hPa	13.9°C	6.2°C	-0.9°C	36 %	50 ° / 14.2 kt
2569 m	756 hPa	15.9°C	7.5°C	-0.1°C	34 %	56 ° / 13.1 kt
2319 m	778 hPa	18°C	8.6°C	0.4°C	31 %	62 ° / 11.9 kt
2069 m	801 hPa	20°C	9.8°C	1.1°C	28 %	69 ° / 11 kt
1819 m	825 hPa	21.8°C	11.8°C	4.4°C	32 %	74 ° / 8.9 kt
1569 m	849 hPa	23.3°C	13.6°C	7.2°C	36 %	70 ° / 8.3 kt
1444 m	861 hPa	23.4°C	14.9°C	9.6°C	41 %	65 ° / 8.2 kt
1319 m	874 hPa	23.7°C	15.8°C	11.1°C	45 %	61 ° / 6.6 kt
1194 m	886 hPa	24.7°C	15.3°C	9.3°C	38 %	53 ° / 4.1 kt
1069 m	899 hPa	25.3°C	14.5°C	6.9°C	31 %	311 ° / 0.7 kt
944 m	912 hPa	25.5°C	13.9°C	5°C	27 %	242 ° / 6 kt
819 m	925 hPa	25.5°C	14.3°C	5.9°C	28 %	246 ° / 7.5 kt
694 m	938 hPa	25.5°C	14.8°C	7.2°C	31 %	258 ° / 7.9 kt
569 m	952 hPa	25.7°C	15.3°C	7.9°C	32 %	262 ° / 8.2 kt
444 m	965 hPa	26.1°C	15.9°C	9°C	34 %	269 ° / 7.4 kt
319 m	979 hPa	26.4°C	17.1°C	11.3°C	39 %	278 ° / 5 kt
269 m	985 hPa	26.4°C	17.8°C	12.7°C	42 %	280 ° / 3.9 kt
219 m	990 hPa	26.2°C	18.7°C	14.5°C	48 %	281 ° / 3 kt
169 m	996 hPa	26°C	19.8°C	16.6°C	56 %	274 ° / 2.2 kt
144 m	999 hPa	26.1°C	20.2°C	17.2°C	58 %	272 ° / 2 kt
119 m	1001 hPa	26.1°C	20.4°C	17.6°C	60 %	273 ° / 1.9 kt
104 m	1003 hPa	26.1°C	20.5°C	17.8°C	60 %	274 ° / 1.8 kt
89 m	1005 hPa	26.2°C	20.6°C	17.9°C	60 %	274 ° / 1.8 kt
71 m (Sol)	1007 hPa	26.1°C	20.9°C	18.4°C	63 %	271 ° / 1.6 kt
  Iso 0°C : 4706 m  	  Iso -10°C : 6213 m  	  Iso -20°C : 7581 m
