Samedi 9 août 2025 2:00 locale (+12h)
  	 Run 12Z du Vendredi 8 août 2025  
Altitude	Pression	Température	Tw	Point de rosée	Humidité	Vent
15356 m	125 hPa	-59.8°C	-59.9°C	-81.9°C	4 %	210 ° / 16.2 kt
14205 m	150 hPa	-55.2°C	-55.8°C	-78.8°C	4 %	192 ° / 13.3 kt
13220 m	175 hPa	-54.8°C	-55.2°C	-69.2°C	15 %	148 ° / 9 kt
12368 m	200 hPa	-55.5°C	-56°C	-59.1°C	65 %	114 ° / 18.3 kt
11615 m	225 hPa	-53.4°C	-53.4°C	-53.4°C	99 %	119 ° / 23.5 kt
10929 m	250 hPa	-47.7°C	-48.1°C	-49.3°C	84 %	122 ° / 23.5 kt
10292 m	275 hPa	-42.2°C	-42.2°C	-45.2°C	72 %	121 ° / 24 kt
9697 m	300 hPa	-37°C	-37.5°C	-39.9°C	74 %	117 ° / 24.1 kt
9154 m	325 hPa	-32.6°C	-33.4°C	-37.8°C	59 %	112 ° / 21.6 kt
8611 m	350 hPa	-28.1°C	-29.4°C	-36.4°C	45 %	106 ° / 19.3 kt
8125 m	375 hPa	-24.4°C	-26.2°C	-35.2°C	36 %	110 ° / 15.2 kt
7638 m	400 hPa	-20.7°C	-23.3°C	-34.8°C	27 %	119 ° / 11.3 kt
7198 m	425 hPa	-17.6°C	-19.6°C	-25.6°C	50 %	119 ° / 9.1 kt
6757 m	450 hPa	-14.5°C	-15.8°C	-18.4°C	72 %	120 ° / 6.8 kt
6353 m	475 hPa	-11.4°C	-13.4°C	-17.1°C	63 %	129 ° / 6.6 kt
5949 m	500 hPa	-8.3°C	-11.1°C	-16.1°C	53 %	138 ° / 6.5 kt
5575 m	525 hPa	-5.5°C	-8.9°C	-14.5°C	50 %	120 ° / 5.4 kt
5201 m	550 hPa	-2.8°C	-6.8°C	-12.9°C	46 %	96 ° / 5.1 kt
4854 m	575 hPa	-0.7°C	-5.2°C	-11.7°C	43 %	80 ° / 5.6 kt
4506 m	600 hPa	1.5°C	-3.5°C	-10.5°C	41 %	67 ° / 6.6 kt
4181 m	625 hPa	3.7°C	-1.6°C	-8.6°C	40 %	58 ° / 10.9 kt
3856 m	650 hPa	5.9°C	0.1°C	-6.8°C	39 %	54 ° / 15.4 kt
3550 m	675 hPa	8.3°C	1.8°C	-5.4°C	37 %	55 ° / 15.4 kt
3244 m	700 hPa	10.6°C	3.5°C	-4.1°C	35 %	56 ° / 15.4 kt
3069 m	712 hPa	11.7°C	4.2°C	-3.6°C	34 %	57 ° / 15.1 kt
2819 m	734 hPa	13.7°C	5.6°C	-2.5°C	32 %	59 ° / 14.5 kt
2569 m	756 hPa	15.8°C	7.1°C	-0.8°C	32 %	61 ° / 14 kt
2319 m	778 hPa	17.8°C	8.8°C	1.3°C	33 %	63 ° / 13.8 kt
2069 m	801 hPa	19.9°C	10.2°C	2.5°C	32 %	66 ° / 13.6 kt
1819 m	825 hPa	21.9°C	11.3°C	2.8°C	28 %	69 ° / 11.3 kt
1569 m	849 hPa	23.6°C	13°C	5.4°C	31 %	69 ° / 7.8 kt
1444 m	861 hPa	23.9°C	14.2°C	7.9°C	36 %	64 ° / 7.3 kt
1319 m	873 hPa	23.9°C	15.6°C	10.6°C	43 %	57 ° / 5.8 kt
1194 m	886 hPa	24.2°C	15.8°C	10.7°C	43 %	41 ° / 3.9 kt
1069 m	899 hPa	25.1°C	14.6°C	7.3°C	32 %	320 ° / 2 kt
944 m	912 hPa	25.5°C	14.1°C	5.6°C	28 %	263 ° / 5.3 kt
819 m	925 hPa	25.5°C	14.5°C	6.5°C	30 %	257 ° / 7.9 kt
694 m	938 hPa	25.6°C	15°C	7.5°C	32 %	257 ° / 8.5 kt
569 m	951 hPa	26.2°C	15.3°C	7.7°C	31 %	259 ° / 8.7 kt
444 m	965 hPa	26.5°C	15.7°C	8.1°C	31 %	266 ° / 8.6 kt
319 m	979 hPa	26.6°C	16.5°C	9.7°C	35 %	272 ° / 6.1 kt
269 m	984 hPa	26.5°C	17.2°C	11.4°C	39 %	269 ° / 4.6 kt
219 m	990 hPa	26.4°C	18°C	13°C	44 %	275 ° / 4 kt
169 m	996 hPa	26.5°C	18.4°C	13.8°C	46 %	292 ° / 4.6 kt
144 m	998 hPa	26.5°C	18.7°C	14.2°C	47 %	300 ° / 5.2 kt
119 m	1001 hPa	26.4°C	18.9°C	14.8°C	49 %	305 ° / 5.1 kt
104 m	1003 hPa	26.3°C	18.9°C	14.9°C	50 %	304 ° / 4.3 kt
89 m	1005 hPa	26.2°C	18.9°C	14.8°C	49 %	301 ° / 3.7 kt
71 m (Sol)	1007 hPa	26.2°C	19.2°C	15.4°C	52 %	294 ° / 3 kt
  Iso 0°C : 4742 m  	  Iso -10°C : 6176 m  	  Iso -20°C : 7543 m 
