Samedi 9 août 2025 11:00 
  	 Run 12Z du Vendredi 8 août 2025  
Altitude	Pression	Température	Tw	Point de rosée	Humidité	Vent
15348 m	125 hPa	-59.2°C	-60°C	-80°C	5 %	227 ° / 11.6 kt
14196 m	150 hPa	-55.2°C	-55.1°C	-78.1°C	4 %	207 ° / 9.1 kt
13209 m	175 hPa	-53.9°C	-53.8°C	-69.8°C	13 %	86 ° / 10.4 kt
12353 m	200 hPa	-54.9°C	-55.2°C	-59.2°C	59 %	69 ° / 20.3 kt
11600 m	225 hPa	-53.4°C	-53.5°C	-53.5°C	100 %	70 ° / 26.4 kt
10914 m	250 hPa	-48°C	-48°C	-49°C	89 %	75 ° / 26.7 kt
10278 m	275 hPa	-42.4°C	-42.9°C	-46°C	68 %	77 ° / 24.7 kt
9684 m	300 hPa	-37.3°C	-37.8°C	-42.8°C	57 %	79 ° / 22.7 kt
9142 m	325 hPa	-33°C	-33.9°C	-40.4°C	47 %	80 ° / 19.9 kt
8600 m	350 hPa	-28.6°C	-30.1°C	-38.6°C	38 %	81 ° / 17.2 kt
8115 m	375 hPa	-25°C	-26.7°C	-35.7°C	36 %	82 ° / 16 kt
7630 m	400 hPa	-21.4°C	-23.6°C	-33°C	34 %	83 ° / 14.9 kt
7190 m	425 hPa	-18.1°C	-20.7°C	-30°C	35 %	76 ° / 15 kt
6750 m	450 hPa	-14.9°C	-17.8°C	-27°C	35 %	68 ° / 15.4 kt
6347 m	475 hPa	-12.1°C	-15°C	-22.2°C	43 %	67 ° / 12.8 kt
5944 m	500 hPa	-9.4°C	-12.2°C	-17.7°C	51 %	66 ° / 10.2 kt
5572 m	525 hPa	-6.6°C	-9.8°C	-15.4°C	50 %	67 ° / 9.1 kt
5200 m	550 hPa	-3.7°C	-7.3°C	-13°C	48 %	69 ° / 8.1 kt
4853 m	575 hPa	-1.3°C	-5.3°C	-11°C	48 %	63 ° / 11.3 kt
4506 m	600 hPa	1.1°C	-3.3°C	-9°C	47 %	60 ° / 14.6 kt
4181 m	625 hPa	3.5°C	-1.5°C	-7.7°C	44 %	60 ° / 15.9 kt
3856 m	650 hPa	5.9°C	0.2°C	-6.5°C	41 %	60 ° / 17.1 kt
3551 m	675 hPa	8.1°C	2.2°C	-4.1°C	42 %	54 ° / 17 kt
3245 m	700 hPa	10.3°C	4.2°C	-1.6°C	43 %	48 ° / 17 kt
3069 m	712 hPa	11.3°C	5.1°C	-0.6°C	44 %	48 ° / 16.4 kt
2819 m	734 hPa	13.1°C	6.9°C	1.8°C	46 %	49 ° / 15.5 kt
2569 m	756 hPa	14.8°C	8.9°C	4.4°C	50 %	51 ° / 14.7 kt
2319 m	778 hPa	16.5°C	10.5°C	6.3°C	51 %	53 ° / 14.1 kt
2069 m	801 hPa	18.3°C	11.5°C	6.9°C	47 %	59 ° / 13.5 kt
1819 m	825 hPa	20.4°C	11.8°C	5.5°C	38 %	67 ° / 12.6 kt
1569 m	849 hPa	22.2°C	12.7°C	5.7°C	34 %	63 ° / 12.8 kt
1444 m	862 hPa	22.5°C	13.7°C	7.8°C	39 %	59 ° / 11.9 kt
1319 m	874 hPa	22.6°C	15°C	10.4°C	46 %	55 ° / 9.1 kt
1194 m	887 hPa	22.9°C	15.7°C	11.4°C	48 %	43 ° / 5.1 kt
1069 m	899 hPa	23.8°C	15.2°C	9.7°C	41 %	1 ° / 3.3 kt
944 m	912 hPa	24.2°C	14.5°C	7.9°C	35 %	336 ° / 4.1 kt
819 m	926 hPa	23.5°C	14.8°C	8.9°C	39 %	319 ° / 3 kt
694 m	939 hPa	23.2°C	16.4°C	12.3°C	50 %	297 ° / 0.3 kt
569 m	952 hPa	24.1°C	17.4°C	13.6°C	52 %	133 ° / 0.8 kt
444 m	966 hPa	25.1°C	18.2°C	14.3°C	51 %	144 ° / 1.4 kt
319 m	980 hPa	26.2°C	18.9°C	14.9°C	50 %	156 ° / 1.9 kt
269 m	985 hPa	26.7°C	19.1°C	15°C	49 %	160 ° / 2.1 kt
219 m	991 hPa	27.2°C	19.4°C	15.2°C	48 %	164 ° / 2.4 kt
169 m	997 hPa	27.7°C	19.7°C	15.4°C	47 %	167 ° / 2.6 kt
144 m	999 hPa	28°C	19.8°C	15.5°C	46 %	169 ° / 2.7 kt
119 m	1002 hPa	28.3°C	20°C	15.6°C	46 %	171 ° / 2.8 kt
104 m	1004 hPa	28.5°C	20.1°C	15.6°C	46 %	173 ° / 2.8 kt
89 m	1006 hPa	28.8°C	20.2°C	15.7°C	45 %	174 ° / 2.7 kt
71 m (Sol)	1008 hPa	30.3°C	20.8°C	15.9°C	42 %	175 ° / 2.4 kt
  Iso 0°C : 4667 m  	  Iso -10°C : 6029 m  	  Iso -20°C : 7442 m 
