Mercredi 6 août 2025 10:00 locale (+20h)
  	 Run 12Z du Mardi 5 août 2025  
Altitude	Pression	Température	Tw	Point de rosée	Humidité	Vent
15302 m	125 hPa	-62.3°C	-62.7°C	-79.7°C	8 %	284 ° / 21.3 kt
14170 m	150 hPa	-59.9°C	-59.9°C	-74.9°C	12 %	272 ° / 24.7 kt
13207 m	175 hPa	-59.8°C	-60.1°C	-62.1°C	74 %	245 ° / 32.3 kt
12370 m	200 hPa	-57.1°C	-57.2°C	-57.2°C	99 %	236 ° / 38.7 kt
11616 m	225 hPa	-52°C	-52°C	-52°C	99 %	240 ° / 37.4 kt
10926 m	250 hPa	-46.7°C	-46.9°C	-47.3°C	93 %	251 ° / 29.3 kt
10287 m	275 hPa	-41.3°C	-41.6°C	-41.7°C	96 %	261 ° / 21.9 kt
9689 m	300 hPa	-36.1°C	-36.5°C	-37.6°C	86 %	259 ° / 19.7 kt
9144 m	325 hPa	-31.8°C	-32.1°C	-35.1°C	72 %	262 ° / 18 kt
8599 m	350 hPa	-27.4°C	-28.5°C	-33.1°C	59 %	265 ° / 16.3 kt
8112 m	375 hPa	-23.7°C	-24.8°C	-29.8°C	57 %	273 ° / 13.8 kt
7624 m	400 hPa	-19.9°C	-21.5°C	-26.5°C	56 %	284 ° / 11.7 kt
7181 m	425 hPa	-16.4°C	-18.7°C	-25.3°C	46 %	283 ° / 11.9 kt
6739 m	450 hPa	-12.9°C	-16.1°C	-24.7°C	37 %	282 ° / 12.1 kt
6332 m	475 hPa	-9.8°C	-14.1°C	-25.2°C	27 %	285 ° / 13 kt
5926 m	500 hPa	-6.8°C	-12.2°C	-27°C	18 %	287 ° / 13.9 kt
5551 m	525 hPa	-4.5°C	-10.4°C	-25.2°C	18 %	289 ° / 13.8 kt
5176 m	550 hPa	-2.3°C	-8.7°C	-23.5°C	18 %	292 ° / 13.7 kt
4828 m	575 hPa	-0.5°C	-6.3°C	-16.8°C	28 %	298 ° / 17.2 kt
4480 m	600 hPa	1.4°C	-3.8°C	-11.4°C	38 %	302 ° / 21 kt
4156 m	625 hPa	3.2°C	-1°C	-5.9°C	51 %	300 ° / 24 kt
3832 m	650 hPa	5.1°C	2°C	-1°C	65 %	299 ° / 27 kt
3526 m	675 hPa	7.3°C	4°C	1.1°C	65 %	289 ° / 25.5 kt
3221 m	700 hPa	9.4°C	6°C	3.2°C	65 %	278 ° / 24.8 kt
3009 m	717 hPa	11°C	6.6°C	3.2°C	59 %	274 ° / 23.9 kt
2759 m	739 hPa	12.5°C	7.5°C	3.5°C	54 %	273 ° / 21.9 kt
2509 m	761 hPa	13.5°C	8.5°C	4.6°C	55 %	267 ° / 19.1 kt
2259 m	784 hPa	14.6°C	9.5°C	5.7°C	55 %	257 ° / 15.6 kt
2009 m	808 hPa	15.9°C	11.1°C	7.8°C	59 %	245 ° / 12.8 kt
1759 m	832 hPa	17.5°C	12.4°C	9.2°C	58 %	235 ° / 11.3 kt
1509 m	856 hPa	18.6°C	13.4°C	10.1°C	58 %	217 ° / 8.7 kt
1384 m	869 hPa	19.2°C	13.8°C	10.4°C	57 %	206 ° / 9.1 kt
1259 m	882 hPa	20°C	13.5°C	9.2°C	50 %	203 ° / 11.9 kt
1134 m	895 hPa	20.6°C	13°C	7.6°C	43 %	202 ° / 13.8 kt
1009 m	908 hPa	21.1°C	13.2°C	7.6°C	42 %	207 ° / 12.3 kt
884 m	921 hPa	21.6°C	14.2°C	9.2°C	45 %	214 ° / 10.1 kt
759 m	934 hPa	22.2°C	15.5°C	11.4°C	51 %	218 ° / 7.3 kt
634 m	948 hPa	22.6°C	17.4°C	14.5°C	60 %	204 ° / 1.9 kt
509 m	961 hPa	23.3°C	18.2°C	15.5°C	62 %	84 ° / 2.8 kt
384 m	975 hPa	24.3°C	18.9°C	16.1°C	60 %	89 ° / 4 kt
259 m	989 hPa	25.3°C	19.5°C	16.5°C	58 %	98 ° / 3.9 kt
209 m	995 hPa	25.8°C	19.7°C	16.6°C	57 %	102 ° / 3.9 kt
159 m	1000 hPa	26.3°C	19.9°C	16.7°C	56 %	105 ° / 3.8 kt
109 m	1006 hPa	26.7°C	20.2°C	16.8°C	55 %	109 ° / 3.6 kt
84 m	1009 hPa	27°C	20.3°C	16.9°C	54 %	111 ° / 3.5 kt
59 m	1012 hPa	27.3°C	20.4°C	17°C	53 %	113 ° / 3.3 kt
44 m	1013 hPa	27.5°C	20.5°C	17°C	53 %	115 ° / 3.1 kt
29 m	1015 hPa	27.7°C	20.6°C	17.1°C	52 %	117 ° / 2.8 kt
11 m (Sol)	1017 hPa	28.5°C	21.1°C	17.4°C	51 %	118 ° / 2.3 kt
  Iso 0°C : 4740 m  	  Iso -10°C : 6352 m  	  Iso -20°C : 7630 m  
