Mardi 5 août 2025 19:00 locale (+5h)
  	 Run 12Z du Mardi 5 août 2025  
Altitude	Pression	Température	Tw	Point de rosée	Humidité	Vent
15339 m	125 hPa	-65.1°C	-64.7°C	-80.7°C	10 %	271 ° / 18.1 kt
14227 m	150 hPa	-64.2°C	-64.2°C	-79.2°C	11 %	248 ° / 30.6 kt
13278 m	175 hPa	-60.7°C	-61°C	-65°C	57 %	225 ° / 31.8 kt
12437 m	200 hPa	-55°C	-55.3°C	-57.3°C	76 %	233 ° / 34 kt
11675 m	225 hPa	-49.4°C	-49.4°C	-51.4°C	79 %	241 ° / 32.6 kt
10977 m	250 hPa	-43.9°C	-44.3°C	-46.7°C	73 %	242 ° / 28.5 kt
10329 m	275 hPa	-38.4°C	-38.9°C	-43.9°C	56 %	246 ° / 26 kt
9725 m	300 hPa	-33.3°C	-34.2°C	-39.7°C	52 %	265 ° / 25.5 kt
9174 m	325 hPa	-29.3°C	-30.2°C	-34.3°C	62 %	275 ° / 25.2 kt
8624 m	350 hPa	-25.2°C	-26°C	-29°C	71 %	286 ° / 25.8 kt
8133 m	375 hPa	-21.9°C	-22.9°C	-25.6°C	72 %	288 ° / 23 kt
7641 m	400 hPa	-18.6°C	-19.7°C	-22.2°C	73 %	290 ° / 20.3 kt
7196 m	425 hPa	-15°C	-17°C	-22°C	56 %	291 ° / 18.4 kt
6751 m	450 hPa	-11.5°C	-14.9°C	-23°C	38 %	292 ° / 16.5 kt
6342 m	475 hPa	-8.3°C	-12.8°C	-23.6°C	28 %	299 ° / 16 kt
5933 m	500 hPa	-5.1°C	-11°C	-25.8°C	18 %	307 ° / 15.9 kt
5556 m	525 hPa	-2.5°C	-9.2°C	-25.3°C	15 %	318 ° / 17 kt
5178 m	550 hPa	0°C	-7.5°C	-25.2°C	13 %	328 ° / 18.6 kt
4828 m	575 hPa	1.3°C	-6.2°C	-22.5°C	15 %	329 ° / 23.1 kt
4478 m	600 hPa	2.7°C	-4.9°C	-19.9°C	17 %	330 ° / 27.7 kt
4153 m	625 hPa	4.1°C	-3.4°C	-16.6°C	21 %	326 ° / 29.4 kt
3828 m	650 hPa	5.5°C	-2°C	-13.6°C	24 %	323 ° / 31.1 kt
3524 m	675 hPa	6.8°C	1.1°C	-5.3°C	42 %	322 ° / 28.3 kt
3219 m	700 hPa	8.1°C	4.2°C	0.8°C	60 %	320 ° / 25.4 kt
3039 m	716 hPa	8.9°C	6.1°C	4°C	72 %	319 ° / 22.5 kt
2789 m	738 hPa	10.2°C	7.8°C	6.1°C	76 %	315 ° / 19.4 kt
2539 m	760 hPa	11.6°C	8.4°C	6.1°C	69 %	303 ° / 15.1 kt
2289 m	783 hPa	13.3°C	9°C	5.8°C	61 %	294 ° / 13.2 kt
2039 m	807 hPa	15.4°C	9.9°C	5.8°C	53 %	297 ° / 14.2 kt
1789 m	831 hPa	17.6°C	10.8°C	5.8°C	46 %	306 ° / 15.8 kt
1539 m	856 hPa	19.7°C	11.7°C	5.8°C	40 %	315 ° / 18.5 kt
1414 m	868 hPa	20.7°C	12.2°C	5.9°C	38 %	320 ° / 19.9 kt
1289 m	881 hPa	21.8°C	12.7°C	6°C	36 %	322 ° / 21 kt
1164 m	893 hPa	22.9°C	13.2°C	6.1°C	34 %	324 ° / 21.6 kt
1039 m	906 hPa	24.1°C	13.9°C	6.4°C	32 %	325 ° / 21.8 kt
914 m	919 hPa	25.3°C	14.4°C	6.6°C	30 %	326 ° / 21.7 kt
789 m	933 hPa	26.5°C	15.1°C	6.9°C	29 %	326 ° / 21.2 kt
664 m	946 hPa	27.7°C	15.7°C	7.2°C	27 %	326 ° / 20.4 kt
539 m	959 hPa	28.9°C	16.3°C	7.5°C	26 %	325 ° / 19.2 kt
414 m	973 hPa	30.1°C	16.9°C	7.9°C	25 %	324 ° / 17.6 kt
289 m	987 hPa	31.3°C	17.6°C	8.3°C	24 %	322 ° / 15.6 kt
239 m	992 hPa	31.8°C	17.9°C	8.5°C	24 %	320 ° / 14.6 kt
189 m	998 hPa	32.3°C	18.1°C	8.7°C	23 %	318 ° / 13.4 kt
139 m	1003 hPa	32.8°C	18.4°C	8.9°C	23 %	316 ° / 12.3 kt
114 m	1006 hPa	33°C	18.5°C	8.9°C	23 %	315 ° / 11.6 kt
89 m	1009 hPa	33.3°C	18.6°C	9°C	22 %	313 ° / 10.9 kt
74 m	1011 hPa	33.5°C	18.7°C	9.1°C	22 %	313 ° / 10.4 kt
59 m	1012 hPa	33.7°C	18.8°C	9.1°C	22 %	312 ° / 9.6 kt
41 m (Sol)	1015 hPa	33.9°C	19.6°C	11°C	25 %	314 ° / 8.9 kt
  Iso 0°C : 5178 m  	  Iso -10°C : 6561 m  	  Iso -20°C : 7849 m  
