Jeudi 7 août 2025 9:00 locale (+7h)
  	 Run 00Z du Jeudi 7 août 2025  
Altitude	Pression	Température	Tw	Point de rosée	Humidité	Vent
15311 m	125 hPa	-64°C	-64°C	-76°C	18 %	51 ° / 5 kt
14194 m	150 hPa	-63.7°C	-63.3°C	-67.3°C	61 %	54 ° / 20.7 kt
13247 m	175 hPa	-62°C	-62.1°C	-62.1°C	100 %	61 ° / 26.1 kt
12411 m	200 hPa	-56.3°C	-56.3°C	-56.3°C	100 %	60 ° / 30 kt
11654 m	225 hPa	-50.8°C	-50.9°C	-50.9°C	98 %	51 ° / 26.9 kt
10959 m	250 hPa	-44.9°C	-45.2°C	-46.6°C	83 %	48 ° / 23.3 kt
10314 m	275 hPa	-39.4°C	-40°C	-43.4°C	66 %	45 ° / 22.5 kt
9713 m	300 hPa	-34.7°C	-35.3°C	-37.8°C	73 %	43 ° / 17.5 kt
9165 m	325 hPa	-30.1°C	-31.1°C	-35.1°C	62 %	41 ° / 11.1 kt
8617 m	350 hPa	-25.5°C	-26.8°C	-32.8°C	51 %	33 ° / 4.8 kt
8124 m	375 hPa	-21.3°C	-23.3°C	-30.7°C	42 %	24 ° / 5.1 kt
7631 m	400 hPa	-17°C	-19.9°C	-29.1°C	34 %	16 ° / 5.5 kt
7184 m	425 hPa	-14.2°C	-17.2°C	-25.6°C	37 %	11 ° / 5.1 kt
6737 m	450 hPa	-11.3°C	-14.6°C	-22.2°C	40 %	5 ° / 4.7 kt
6330 m	475 hPa	-9.1°C	-12.4°C	-19.4°C	43 %	321 ° / 4.1 kt
5922 m	500 hPa	-6.9°C	-10.4°C	-16.6°C	46 %	287 ° / 5.9 kt
5547 m	525 hPa	-4.9°C	-8.4°C	-14.3°C	48 %	298 ° / 8.2 kt
5172 m	550 hPa	-2.9°C	-6.6°C	-12.1°C	49 %	305 ° / 10.6 kt
4826 m	575 hPa	-1.5°C	-4.4°C	-8.2°C	60 %	307 ° / 10.6 kt
4479 m	600 hPa	-0°C	-2.3°C	-4.7°C	71 %	309 ° / 10.7 kt
4156 m	625 hPa	2.2°C	0.1°C	-2°C	74 %	298 ° / 11.6 kt
3832 m	650 hPa	4.4°C	2.5°C	0.8°C	77 %	289 ° / 12.9 kt
3527 m	675 hPa	7.3°C	4.2°C	1.7°C	68 %	282 ° / 13.4 kt
3253 m	699 hPa	10.1°C	5.8°C	2.4°C	59 %	275 ° / 14.1 kt
3003 m	721 hPa	12.3°C	7.1°C	3.1°C	53 %	271 ° / 14.2 kt
2753 m	742 hPa	14.6°C	8.5°C	3.8°C	48 %	269 ° / 13.5 kt
2503 m	764 hPa	16.7°C	9.6°C	4.3°C	44 %	268 ° / 11.5 kt
2253 m	787 hPa	18.4°C	10.7°C	5.2°C	42 %	269 ° / 8.4 kt
2003 m	810 hPa	19.3°C	11.8°C	6.5°C	43 %	264 ° / 7.1 kt
1753 m	834 hPa	20.4°C	12.1°C	6.2°C	40 %	258 ° / 9.7 kt
1628 m	846 hPa	21°C	12°C	5.3°C	36 %	251 ° / 10.6 kt
1503 m	859 hPa	21.4°C	11.8°C	4.2°C	32 %	241 ° / 11.2 kt
1378 m	871 hPa	21.8°C	11.8°C	3.7°C	30 %	230 ° / 11.4 kt
1253 m	884 hPa	22.2°C	12°C	3.8°C	30 %	220 ° / 11 kt
1128 m	897 hPa	22.7°C	12.4°C	4.1°C	30 %	213 ° / 10.2 kt
1003 m	910 hPa	23.3°C	12.8°C	4.5°C	29 %	208 ° / 9.2 kt
878 m	923 hPa	23.7°C	13.5°C	5.6°C	31 %	209 ° / 7.6 kt
753 m	936 hPa	23.7°C	14.8°C	8.6°C	38 %	218 ° / 5.4 kt
628 m	950 hPa	23°C	16.8°C	13.2°C	54 %	235 ° / 4 kt
503 m	963 hPa	22.3°C	18.9°C	17.2°C	73 %	244 ° / 3.5 kt
453 m	969 hPa	22.3°C	19.3°C	17.8°C	75 %	251 ° / 3.2 kt
403 m	974 hPa	22.5°C	19.1°C	17.4°C	73 %	274 ° / 3.1 kt
353 m	980 hPa	22.5°C	18.8°C	16.8°C	70 %	301 ° / 3.3 kt
328 m	983 hPa	22.4°C	18.8°C	16.9°C	71 %	313 ° / 2.6 kt
303 m	986 hPa	22.4°C	18.9°C	17.1°C	72 %	328 ° / 1.9 kt
288 m	987 hPa	22.4°C	19°C	17.2°C	72 %	336 ° / 1.6 kt
273 m	989 hPa	22.6°C	19.1°C	17.3°C	72 %	345 ° / 1.2 kt
255 m (Sol)	991 hPa	23°C	19.6°C	17.9°C	73 %	355 ° / 0.9 kt
  Iso 0°C : 4474 m  	  Iso -10°C : 6495 m  	  Iso -20°C : 7976 m 
