Mardi 5 août 2025 20:00 locale (+6h)
  	 Run 12Z du Mardi 5 août 2025  
Altitude	Pression	Température	Tw	Point de rosée	Humidité	Vent
15200 m	125 hPa	-56.5°C	-56.8°C	-81.8°C	3 %	266 ° / 48.1 kt
14042 m	150 hPa	-55.3°C	-55.9°C	-75.9°C	6 %	269 ° / 63.7 kt
13059 m	175 hPa	-55.1°C	-55.7°C	-67.7°C	19 %	264 ° / 82.2 kt
12204 m	200 hPa	-53.4°C	-53.3°C	-63.3°C	29 %	263 ° / 86.6 kt
11442 m	225 hPa	-51.1°C	-51.6°C	-58.6°C	40 %	268 ° / 85.2 kt
10753 m	250 hPa	-48.4°C	-48.4°C	-54.4°C	49 %	272 ° / 76.6 kt
10120 m	275 hPa	-44.1°C	-44.7°C	-52.9°C	37 %	278 ° / 72.7 kt
9531 m	300 hPa	-39.4°C	-40.1°C	-50.1°C	31 %	283 ° / 73.4 kt
8994 m	325 hPa	-35°C	-36.2°C	-48.3°C	24 %	285 ° / 73 kt
8457 m	350 hPa	-30.6°C	-32.2°C	-47.3°C	18 %	288 ° / 72.7 kt
7975 m	375 hPa	-26.5°C	-28.7°C	-47.2°C	12 %	291 ° / 70.8 kt
7492 m	400 hPa	-22.3°C	-25.1°C	-49.1°C	7 %	293 ° / 68.9 kt
7055 m	425 hPa	-19.3°C	-22.7°C	-45.3°C	8 %	293 ° / 62.8 kt
6617 m	450 hPa	-16.3°C	-20.1°C	-41.6°C	9 %	292 ° / 56.6 kt
6217 m	475 hPa	-13.6°C	-18°C	-41.7°C	7 %	292 ° / 52.1 kt
5816 m	500 hPa	-10.9°C	-16°C	-42.7°C	5 %	292 ° / 47.6 kt
5447 m	525 hPa	-8.7°C	-14.3°C	-41.7°C	5 %	294 ° / 44.9 kt
5078 m	550 hPa	-6.5°C	-12.6°C	-40.7°C	5 %	296 ° / 42.3 kt
4737 m	575 hPa	-4.7°C	-11.2°C	-39.4°C	5 %	295 ° / 39.6 kt
4395 m	600 hPa	-2.9°C	-9.8°C	-38.1°C	5 %	294 ° / 36.9 kt
4076 m	625 hPa	-1.8°C	-8.9°C	-37.9°C	4 %	295 ° / 36.1 kt
3758 m	650 hPa	-0.7°C	-8.1°C	-37.7°C	4 %	296 ° / 35.2 kt
3462 m	675 hPa	0.4°C	-7°C	-32.3°C	7 %	296 ° / 29.8 kt
3165 m	700 hPa	1.4°C	-5.9°C	-28.2°C	9 %	296 ° / 24.4 kt
3155 m	701 hPa	1.5°C	-5.8°C	-28.1°C	9 %	296 ° / 24.3 kt
2905 m	723 hPa	3.1°C	-4.7°C	-28.2°C	8 %	293 ° / 21.7 kt
2655 m	745 hPa	4.8°C	-3.7°C	-28.8°C	7 %	293 ° / 19.7 kt
2405 m	768 hPa	6.6°C	-2.4°C	-28.6°C	6 %	295 ° / 18 kt
2155 m	792 hPa	8.4°C	-0.9°C	-24°C	8 %	300 ° / 18 kt
1905 m	817 hPa	6.4°C	3°C	-0.9°C	60 %	304 ° / 13.7 kt
1655 m	842 hPa	7.5°C	5.2°C	3°C	73 %	309 ° / 13.3 kt
1530 m	855 hPa	8.7°C	6°C	3.3°C	69 %	312 ° / 13.3 kt
1405 m	868 hPa	9.9°C	6.7°C	3.6°C	65 %	315 ° / 13.4 kt
1280 m	881 hPa	11.1°C	7.3°C	3.8°C	61 %	318 ° / 13.4 kt
1155 m	894 hPa	12.3°C	8.1°C	4.1°C	57 %	320 ° / 13.5 kt
1030 m	907 hPa	13.5°C	8.7°C	4.3°C	54 %	323 ° / 13.6 kt
905 m	921 hPa	14.7°C	9.4°C	4.6°C	51 %	326 ° / 13.8 kt
780 m	935 hPa	15.9°C	10°C	4.8°C	48 %	328 ° / 13.9 kt
655 m	948 hPa	17.1°C	10.7°C	5.1°C	45 %	331 ° / 14 kt
530 m	962 hPa	18.3°C	11.3°C	5.3°C	42 %	333 ° / 14.1 kt
405 m	976 hPa	19.5°C	12°C	5.6°C	40 %	335 ° / 14 kt
355 m	982 hPa	20°C	12.3°C	5.7°C	39 %	336 ° / 13.9 kt
305 m	988 hPa	20.5°C	12.5°C	5.8°C	38 %	337 ° / 13.6 kt
255 m	994 hPa	21°C	12.8°C	5.9°C	37 %	337 ° / 13.2 kt
230 m	996 hPa	21.3°C	12.9°C	6°C	37 %	338 ° / 12.9 kt
205 m	999 hPa	21.5°C	13.1°C	6°C	36 %	338 ° / 12.3 kt
190 m	1001 hPa	21.7°C	13.1°C	6°C	36 %	338 ° / 11.8 kt
175 m	1003 hPa	21.8°C	13.3°C	6.1°C	36 %	339 ° / 11 kt
157 m (Sol)	1005 hPa	23.2°C	14.2°C	7.2°C	36 %	339 ° / 9.8 kt
  Iso 0°C : 3561 m  	  Iso -10°C : 5663 m  	  Iso -20°C : 7153 m  
