Jeudi 7 août 2025 8:00 locale (+6h)
  	 Run 00Z du Jeudi 7 août 2025  
Altitude	Pression	Température	Tw	Point de rosée	Humidité	Vent
15308 m	125 hPa	-63.5°C	-63.2°C	-76.2°C	16 %	21 ° / 5.1 kt
14190 m	150 hPa	-63.5°C	-63.3°C	-67.3°C	59 %	50 ° / 19.3 kt
13242 m	175 hPa	-62°C	-62.1°C	-62.1°C	98 %	56 ° / 27.7 kt
12406 m	200 hPa	-56.4°C	-56.4°C	-56.4°C	99 %	55 ° / 31.9 kt
11649 m	225 hPa	-51°C	-51.2°C	-51.2°C	97 %	46 ° / 29.1 kt
10955 m	250 hPa	-44.8°C	-45.1°C	-49.1°C	62 %	42 ° / 25.2 kt
10310 m	275 hPa	-39.5°C	-40.1°C	-44.2°C	61 %	34 ° / 23.2 kt
9709 m	300 hPa	-34.9°C	-35.4°C	-36.9°C	82 %	30 ° / 16 kt
9161 m	325 hPa	-30.2°C	-31°C	-34.7°C	65 %	30 ° / 10.6 kt
8613 m	350 hPa	-25.5°C	-27.1°C	-33.5°C	47 %	28 ° / 5.2 kt
8121 m	375 hPa	-21.3°C	-23.3°C	-30.8°C	42 %	17 ° / 5.2 kt
7628 m	400 hPa	-17.1°C	-19.8°C	-28.4°C	37 %	6 ° / 5.5 kt
7181 m	425 hPa	-14.2°C	-17.2°C	-25.4°C	38 %	7 ° / 6.2 kt
6734 m	450 hPa	-11.3°C	-14.6°C	-22.3°C	40 %	8 ° / 6.8 kt
6327 m	475 hPa	-9.1°C	-12.5°C	-19.5°C	43 %	340 ° / 5.3 kt
5919 m	500 hPa	-6.9°C	-10.4°C	-16.7°C	46 %	306 ° / 5.6 kt
5544 m	525 hPa	-4.9°C	-8.5°C	-14.3°C	48 %	306 ° / 7.9 kt
5169 m	550 hPa	-2.9°C	-6.6°C	-11.9°C	50 %	306 ° / 10.2 kt
4823 m	575 hPa	-1.5°C	-4.4°C	-8.3°C	59 %	308 ° / 11.1 kt
4476 m	600 hPa	0°C	-2.3°C	-5°C	69 %	310 ° / 12 kt
4153 m	625 hPa	2.2°C	0.1°C	-2°C	73 %	302 ° / 13.7 kt
3829 m	650 hPa	4.4°C	2.6°C	1°C	78 %	297 ° / 15.5 kt
3524 m	675 hPa	7.3°C	4.2°C	1.6°C	67 %	286 ° / 14.3 kt
3253 m	699 hPa	10.1°C	5.5°C	1.6°C	56 %	275 ° / 13.6 kt
3003 m	720 hPa	12.3°C	6.9°C	2.5°C	51 %	265 ° / 13.2 kt
2753 m	742 hPa	14.5°C	8.2°C	3.4°C	47 %	262 ° / 12.6 kt
2503 m	764 hPa	16.4°C	9.5°C	4.4°C	45 %	263 ° / 11.2 kt
2253 m	787 hPa	18°C	10.8°C	5.6°C	44 %	264 ° / 9.4 kt
2003 m	810 hPa	19.1°C	11.8°C	6.8°C	45 %	260 ° / 10 kt
1753 m	834 hPa	20.4°C	12.4°C	6.9°C	42 %	258 ° / 13 kt
1628 m	846 hPa	21.1°C	12.5°C	6.3°C	38 %	256 ° / 13.2 kt
1503 m	858 hPa	21.7°C	12.3°C	5.4°C	35 %	250 ° / 12.4 kt
1378 m	871 hPa	22°C	12.2°C	4.6°C	32 %	239 ° / 11.5 kt
1253 m	884 hPa	22.2°C	12.2°C	4.3°C	31 %	229 ° / 10.8 kt
1128 m	896 hPa	22.6°C	12.5°C	4.4°C	30 %	222 ° / 10 kt
1003 m	909 hPa	23.1°C	12.8°C	4.7°C	30 %	223 ° / 8.8 kt
878 m	922 hPa	23.4°C	13.6°C	6.2°C	33 %	231 ° / 7.1 kt
753 m	936 hPa	23.2°C	15°C	9.5°C	42 %	244 ° / 5.6 kt
628 m	949 hPa	22.5°C	17°C	13.8°C	58 %	247 ° / 4.7 kt
503 m	963 hPa	22.4°C	18.5°C	16.5°C	69 %	243 ° / 4.2 kt
453 m	969 hPa	22.7°C	18.8°C	16.8°C	69 %	246 ° / 4 kt
403 m	974 hPa	22.9°C	18.9°C	16.8°C	68 %	255 ° / 4 kt
353 m	980 hPa	22.9°C	18.8°C	16.7°C	68 %	265 ° / 4 kt
328 m	983 hPa	22.9°C	18.9°C	16.8°C	69 %	271 ° / 3.8 kt
303 m	985 hPa	22.7°C	18.9°C	17°C	70 %	275 ° / 3.4 kt
288 m	987 hPa	22.6°C	19°C	17.2°C	72 %	274 ° / 2.9 kt
273 m	989 hPa	22.5°C	19.1°C	17.4°C	73 %	263 ° / 1.7 kt
255 m (Sol)	991 hPa	21.1°C	19.1°C	18.1°C	83 %	192 ° / 0.5 kt
  Iso 0°C : 4484 m  	  Iso -10°C : 6499 m  	  Iso -20°C : 7969 m  
