Jeudi 7 août 2025 18:00 locale (+16h)
  	 Run 00Z du Jeudi 7 août 2025  
Altitude	Pression	Température	Tw	Point de rosée	Humidité	Vent
15339 m	125 hPa	-62.9°C	-62.4°C	-77.4°C	12 %	167 ° / 4.8 kt
14221 m	150 hPa	-64.2°C	-64.3°C	-66.3°C	75 %	115 ° / 20.2 kt
13271 m	175 hPa	-60.7°C	-61.2°C	-64.3°C	63 %	99 ° / 26.3 kt
12433 m	200 hPa	-56.2°C	-56.3°C	-59.3°C	68 %	102 ° / 27.2 kt
11676 m	225 hPa	-51°C	-51.3°C	-55.3°C	60 %	102 ° / 27.4 kt
10981 m	250 hPa	-45.1°C	-45.6°C	-51.6°C	48 %	100 ° / 22.9 kt
10337 m	275 hPa	-39.7°C	-40.5°C	-48°C	41 %	95 ° / 19.8 kt
9736 m	300 hPa	-34.5°C	-35.5°C	-45.5°C	32 %	97 ° / 18 kt
9187 m	325 hPa	-29.9°C	-31.3°C	-39.5°C	39 %	102 ° / 11.7 kt
8638 m	350 hPa	-25.3°C	-26.7°C	-33.7°C	45 %	120 ° / 5.8 kt
8146 m	375 hPa	-21.3°C	-23.4°C	-31.1°C	41 %	115 ° / 4.6 kt
7653 m	400 hPa	-17.3°C	-20.1°C	-28.6°C	37 %	106 ° / 3.5 kt
7206 m	425 hPa	-14.3°C	-17.3°C	-25.3°C	39 %	149 ° / 2.1 kt
6760 m	450 hPa	-11.4°C	-14.6°C	-22.1°C	41 %	202 ° / 2.9 kt
6352 m	475 hPa	-8.6°C	-12.2°C	-19.8°C	40 %	227 ° / 2.1 kt
5943 m	500 hPa	-5.8°C	-10°C	-17.6°C	39 %	266 ° / 2 kt
5567 m	525 hPa	-3.7°C	-8°C	-15.2°C	40 %	318 ° / 2.3 kt
5191 m	550 hPa	-1.6°C	-6.1°C	-12.8°C	42 %	342 ° / 3.8 kt
4842 m	575 hPa	0.2°C	-4.9°C	-12.5°C	38 %	322 ° / 5.4 kt
4493 m	600 hPa	2°C	-3.7°C	-12.3°C	34 %	312 ° / 7.4 kt
4168 m	625 hPa	4°C	-1.5°C	-8.4°C	40 %	289 ° / 7.7 kt
3843 m	650 hPa	6°C	0.9°C	-4.7°C	46 %	271 ° / 9.1 kt
3537 m	675 hPa	8.5°C	2.4°C	-3.9°C	41 %	268 ° / 9.3 kt
3230 m	700 hPa	11.1°C	4°C	-3.3°C	36 %	264 ° / 9.7 kt
3253 m	700 hPa	11.1°C	4°C	-3.3°C	36 %	264 ° / 9.7 kt
3003 m	721 hPa	13.3°C	5.7°C	-1.6°C	36 %	263 ° / 9.4 kt
2753 m	743 hPa	15.5°C	7.3°C	0.2°C	35 %	265 ° / 8.7 kt
2503 m	765 hPa	17.5°C	8.9°C	1.9°C	35 %	265 ° / 8 kt
2253 m	788 hPa	19.5°C	10.5°C	3.6°C	35 %	260 ° / 7.7 kt
2003 m	811 hPa	20.8°C	12°C	5.7°C	37 %	249 ° / 7.9 kt
1753 m	835 hPa	20.9°C	12.4°C	6.5°C	39 %	245 ° / 7.2 kt
1628 m	847 hPa	21.2°C	12.5°C	6.3°C	38 %	247 ° / 7.2 kt
1503 m	859 hPa	21.8°C	12.6°C	5.9°C	36 %	246 ° / 7.8 kt
1378 m	872 hPa	22.5°C	12.7°C	5.4°C	33 %	243 ° / 8.6 kt
1253 m	884 hPa	23.1°C	12.7°C	4.7°C	30 %	238 ° / 9.2 kt
1128 m	897 hPa	23.8°C	12.8°C	4.1°C	28 %	233 ° / 9.4 kt
1003 m	910 hPa	24.5°C	13°C	3.7°C	26 %	227 ° / 9.4 kt
878 m	923 hPa	25.2°C	13.3°C	3.6°C	25 %	218 ° / 9.3 kt
753 m	936 hPa	25.9°C	14°C	4.7°C	26 %	204 ° / 9.2 kt
628 m	950 hPa	25.3°C	16.4°C	10.8°C	40 %	181 ° / 10.5 kt
503 m	963 hPa	25.2°C	18.8°C	15.4°C	55 %	172 ° / 11.9 kt
453 m	969 hPa	25.5°C	19.2°C	16°C	55 %	172 ° / 12.1 kt
403 m	974 hPa	26°C	19.6°C	16.3°C	55 %	172 ° / 12 kt
353 m	980 hPa	26.5°C	19.9°C	16.6°C	54 %	172 ° / 11.6 kt
328 m	983 hPa	26.8°C	20.1°C	16.7°C	54 %	173 ° / 11.2 kt
303 m	985 hPa	27.1°C	20.2°C	16.8°C	53 %	173 ° / 10.4 kt
288 m	987 hPa	27.4°C	20.3°C	16.8°C	53 %	173 ° / 9.6 kt
273 m	989 hPa	27.7°C	20.5°C	16.9°C	52 %	173 ° / 8.3 kt
255 m (Sol)	991 hPa	29.6°C	21.6°C	17.8°C	49 %	174 ° / 6.3 kt
  Iso 0°C : 4876 m  	  Iso -10°C : 6558 m  	  Iso -20°C : 7985 m 
