Jeudi 7 août 2025 16:00 locale (+14h)
  	 Run 00Z du Jeudi 7 août 2025  
Altitude	Pression	Température	Tw	Point de rosée	Humidité	Vent
15336 m	125 hPa	-64°C	-64°C	-77°C	15 %	182 ° / 3.1 kt
14220 m	150 hPa	-63.6°C	-64.1°C	-67.1°C	62 %	102 ° / 20.5 kt
13269 m	175 hPa	-61.1°C	-61°C	-63°C	78 %	91 ° / 25.4 kt
12432 m	200 hPa	-56.6°C	-56.7°C	-58.7°C	78 %	96 ° / 28.2 kt
11676 m	225 hPa	-51°C	-51.3°C	-55.3°C	60 %	95 ° / 27.6 kt
10981 m	250 hPa	-44.9°C	-45°C	-52°C	45 %	92 ° / 23.5 kt
10337 m	275 hPa	-39.4°C	-40.2°C	-48.4°C	38 %	90 ° / 19.8 kt
9735 m	300 hPa	-34.2°C	-35.2°C	-46.2°C	29 %	92 ° / 17.5 kt
9185 m	325 hPa	-29.7°C	-31.1°C	-39.5°C	38 %	101 ° / 11.5 kt
8636 m	350 hPa	-25.2°C	-26.8°C	-33.3°C	47 %	126 ° / 6.2 kt
8143 m	375 hPa	-21.3°C	-23.3°C	-30.5°C	43 %	120 ° / 4.6 kt
7651 m	400 hPa	-17.4°C	-19.9°C	-27.9°C	39 %	110 ° / 3.1 kt
7204 m	425 hPa	-14.3°C	-17.2°C	-25°C	40 %	135 ° / 2 kt
6758 m	450 hPa	-11.2°C	-14.6°C	-22.1°C	40 %	181 ° / 1.8 kt
6350 m	475 hPa	-8.8°C	-12.3°C	-19.3°C	43 %	240 ° / 1.1 kt
5942 m	500 hPa	-6.4°C	-10°C	-16.4°C	45 %	289 ° / 2 kt
5566 m	525 hPa	-4°C	-8°C	-14.5°C	44 %	305 ° / 4.1 kt
5190 m	550 hPa	-1.7°C	-6.1°C	-12.6°C	43 %	310 ° / 6.3 kt
4841 m	575 hPa	0.2°C	-4.6°C	-11.7°C	40 %	303 ° / 7.1 kt
4492 m	600 hPa	2.2°C	-3.3°C	-11°C	37 %	297 ° / 8 kt
4167 m	625 hPa	3.9°C	-1.2°C	-7.4°C	44 %	279 ° / 8.9 kt
3842 m	650 hPa	5.6°C	0.9°C	-4°C	50 %	265 ° / 10.5 kt
3536 m	675 hPa	8.2°C	2.9°C	-2.4°C	47 %	265 ° / 10.5 kt
3253 m	700 hPa	10.9°C	4.8°C	-0.8°C	44 %	264 ° / 10.6 kt
3003 m	721 hPa	13.1°C	6.4°C	0.7°C	43 %	268 ° / 9.6 kt
2753 m	743 hPa	15.2°C	7.9°C	2.1°C	41 %	275 ° / 8.4 kt
2503 m	765 hPa	17.2°C	9.5°C	3.5°C	40 %	280 ° / 7.2 kt
2253 m	788 hPa	19.2°C	10.9°C	4.8°C	39 %	270 ° / 6.8 kt
2003 m	811 hPa	20.2°C	12°C	6.3°C	40 %	250 ° / 8.1 kt
1753 m	835 hPa	20.1°C	12°C	6.3°C	41 %	252 ° / 8.6 kt
1628 m	847 hPa	20.5°C	11.8°C	5.4°C	37 %	247 ° / 9.4 kt
1503 m	859 hPa	21°C	11.7°C	4.3°C	33 %	240 ° / 10.5 kt
1378 m	872 hPa	21.8°C	11.7°C	3.5°C	30 %	234 ° / 11.3 kt
1253 m	884 hPa	22.6°C	12°C	3.2°C	28 %	230 ° / 11.3 kt
1128 m	897 hPa	23.5°C	12.4°C	3.3°C	27 %	226 ° / 10.8 kt
1003 m	910 hPa	24.4°C	12.9°C	3.5°C	26 %	221 ° / 10.2 kt
878 m	923 hPa	25.1°C	13.6°C	4.5°C	26 %	213 ° / 9.5 kt
753 m	937 hPa	25°C	15.7°C	9.6°C	38 %	187 ° / 9.4 kt
628 m	950 hPa	25.3°C	17.2°C	12.4°C	45 %	172 ° / 11.3 kt
503 m	964 hPa	26°C	18.2°C	13.8°C	47 %	170 ° / 12.3 kt
453 m	969 hPa	26.5°C	18.6°C	14.2°C	47 %	169 ° / 12.5 kt
403 m	975 hPa	26.9°C	18.8°C	14.4°C	46 %	170 ° / 12.5 kt
353 m	980 hPa	27.5°C	19.2°C	14.7°C	45 %	170 ° / 12.2 kt
328 m	983 hPa	27.8°C	19.3°C	14.8°C	45 %	170 ° / 11.8 kt
303 m	986 hPa	28.1°C	19.5°C	14.9°C	44 %	171 ° / 11.1 kt
288 m	987 hPa	28.4°C	19.6°C	14.9°C	44 %	171 ° / 10.3 kt
273 m	989 hPa	28.8°C	19.8°C	15°C	43 %	171 ° / 9 kt
255 m (Sol)	991 hPa	30.4°C	20.5°C	15.3°C	40 %	172 ° / 7 kt
  Iso 0°C : 4885 m  	  Iso -10°C : 6548 m  	  Iso -20°C : 7981 m  
